"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"79";0;0;0;0;0;0;0;0;0
"80";0;0;0;0;0;5;5;5;5
"81";0;0;0;0;0;0;0;0;0
"82";0;0;0;0;0;0;0;0;0
"83";0;0;0;0;0;0;0;0;2
"84";0;0;0;0;0;0;0;0;1
"85";0;0;0;0;0;0;0;3;3
"86";0;0;0;0;0;0;0;0;0
"87";0;0;0;0;0;0;0;3;3
"88";0;0;0;0;0;0;0;0;1
"89";0;0;0;0;0;0;0;0;1
"90";0;0;0;0;0;0;0;0;1
"91";0;0;0;0;0;0;0;0;1
"92";0;0;0;0;0;0;0;0;1
"93";0;0;0;0;0;0;0;0;0
"94";0;0;0;0;0;0;0;0;0
"95";0;0;0;0;0;0;0;0;1
"96";0;0;0;0;0;0;0;0;2
"97";0;0;0;0;0;0;0;3;3
"98";0;0;0;0;0;0;0;0;0
"99";0;0;0;0;0;0;0;0;1
"100";0;0;0;0;0;0;0;0;2
"101";0;0;0;0;0;0;0;0;2
"102";0;0;0;0;0;0;0;0;2
"103";0;0;0;0;0;0;0;3;3
"104";0;0;0;0;0;5;5;5;5
"105";0;0;0;0;0;5;5;5;5
"106";0;0;0;0;0;5;5;5;5
"107";0;0;0;0;0;0;0;3;3
"108";0;0;0;0;0;0;0;0;1
"109";0;0;0;0;0;0;0;0;1
"110";0;0;0;0;0;0;0;0;2
"111";0;0;0;0;0;0;0;3;3
"112";0;0;0;0;0;0;0;0;1
"113";0;0;0;0;0;0;0;3;3
"114";0;0;0;0;0;0;4;4;4
"115";0;0;0;0;0;0;0;0;1
"116";0;0;0;0;0;0;0;0;1
"117";0;0;0;0;0;0;0;3;3
"118";0;0;0;0;0;0;0;0;1
"119";0;0;0;0;0;0;0;3;3
"120";0;0;0;0;0;0;0;0;1
"121";0;0;0;0;0;0;0;0;2
"122";0;0;0;0;0;0;0;0;2
"123";0;0;0;0;0;0;4;4;4
"124";0;0;0;0;0;0;0;0;0
"125";0;0;0;0;0;0;0;0;0
"126";0;0;0;0;0;0;4;4;4
"127";0;0;0;0;0;0;4;4;4
"128";0;0;0;0;0;0;0;0;2
"129";0;0;0;0;0;0;0;0;2
"130";0;0;0;0;0;0;4;4;4
"131";0;0;0;0;0;0;4;4;4
"132";0;0;0;0;0;0;0;0;2
"133";0;0;0;0;0;0;0;0;0
"134";0;0;0;0;0;0;0;0;0
"135";0;0;0;0;0;0;0;0;0
"136";0;0;0;0;0;0;4;4;4
"137";0;0;0;0;0;0;0;0;0
"138";0;0;0;0;0;0;4;4;4
"139";0;0;0;0;0;0;0;0;0
"140";0;0;0;0;0;0;4;4;4
"141";0;0;0;0;0;0;0;0;0
"142";0;0;0;0;0;0;0;0;0
"143";0;0;0;0;0;0;0;0;1
"144";0;0;0;0;0;0;4;4;4
"145";0;0;0;0;0;5;5;5;5
"146";0;0;0;0;0;0;0;0;0
"147";0;0;0;0;0;5;5;5;5
"148";0;0;0;0;0;5;5;5;5
"149";0;0;0;0;0;5;5;5;5
"150";0;0;0;0;0;0;0;0;0
"151";0;0;0;0;0;5;5;5;5
"152";0;0;0;0;0;0;4;4;4
"153";0;0;0;0;0;0;4;4;4
"154";0;0;0;0;0;0;4;4;4
"155";0;0;0;0;0;0;0;0;2
"156";0;0;0;0;0;0;4;4;4
"157";0;0;0;0;0;0;4;4;4
"158";0;0;0;0;0;0;4;4;4
"159";0;0;0;0;0;0;4;4;4
"160";0;0;0;0;0;0;0;0;2
"161";0;0;0;0;0;0;4;4;4
"162";0;0;0;0;0;0;0;0;0
"163";0;0;0;0;0;0;4;4;4
"164";0;0;0;0;0;0;4;4;4
"165";0;0;0;0;0;0;4;4;4
"166";0;0;0;0;0;0;4;4;4
"167";0;0;0;0;0;0;0;0;0
"168";0;0;0;0;0;0;4;4;4
"169";0;0;0;0;0;0;0;0;1
"170";0;0;0;0;0;5;5;5;5
"171";0;0;0;0;0;0;4;4;4
"172";0;0;0;0;0;0;0;0;1
"173";0;0;0;0;0;0;4;4;4
"174";0;0;0;0;0;0;0;0;1
"175";0;0;0;0;0;0;4;4;4
"176";0;0;0;0;0;0;4;4;4
"177";0;0;0;0;0;0;4;4;4
"178";0;0;0;0;0;5;5;5;5
"179";0;0;0;0;0;0;4;4;4
"180";0;0;0;0;0;0;0;0;2
"181";0;0;0;0;0;0;0;0;1
"182";0;0;0;0;0;5;5;5;5
"183";0;0;0;0;0;0;0;0;1
"184";0;0;0;0;0;0;4;4;4
"185";0;0;0;0;0;0;0;0;0
"186";0;0;0;0;0;0;0;0;2
"187";0;0;0;0;0;0;4;4;4
"188";0;0;0;0;0;0;0;0;1
"189";0;0;0;0;0;0;0;0;2
"190";0;0;0;0;0;0;4;4;4
"191";0;0;0;0;0;5;5;5;5
"192";0;0;0;0;0;0;4;4;4
"193";0;0;0;0;0;5;5;5;5
"194";0;0;0;0;0;5;5;5;5
"195";0;0;0;0;0;0;0;0;1
"196";0;0;0;0;0;0;0;0;0
"197";0;0;0;0;0;0;0;0;1
"198";0;0;0;0;0;0;0;0;1
"199";0;0;0;0;0;5;5;5;5
"200";0;0;0;0;0;0;0;0;1
"201";0;0;0;0;0;0;0;0;2
"202";0;0;0;0;0;0;4;4;4
"203";0;0;0;0;0;0;0;3;3
"204";0;0;0;0;0;0;4;4;4
"205";0;0;0;0;0;0;4;4;4
"206";0;0;0;0;0;0;4;4;4
"207";0;0;0;0;0;0;0;3;3
"208";0;0;0;0;0;0;4;4;4
"209";0;0;0;0;0;0;0;0;1
"210";0;0;0;0;0;0;4;4;4
"211";0;0;0;0;0;0;4;4;4
"212";0;0;0;0;0;0;4;4;4
"213";0;0;0;0;0;0;4;4;4
"214";0;0;0;0;0;0;0;0;0
"215";0;0;0;0;0;0;0;3;3
"216";0;0;0;0;0;0;0;3;3
"217";0;0;0;0;0;5;5;5;5
"218";0;0;0;0;0;5;5;5;5
"219";0;0;0;0;0;0;4;4;4
"220";0;0;0;0;0;0;0;3;3
"221";0;0;0;0;0;0;4;4;4
"222";0;0;0;0;0;0;4;4;4
"223";0;0;0;0;0;0;0;0;1
"224";0;0;0;0;0;0;0;0;2
"225";0;0;0;0;0;0;0;0;1
"226";0;0;0;0;0;0;4;4;4
"227";0;0;0;0;0;0;4;4;4
"228";0;0;0;0;0;0;4;4;4
"229";0;0;0;0;0;0;0;0;1
"230";0;0;0;0;0;0;4;4;4
"231";0;0;0;0;0;0;4;4;4
"232";0;0;0;0;0;0;4;4;4
"233";0;0;0;0;0;0;4;4;4
"234";0;0;0;0;0;0;4;4;4
"235";0;0;0;0;0;0;4;4;4
"236";0;0;0;0;0;0;4;4;4
"237";0;0;0;0;0;0;4;4;4
"238";0;0;0;0;0;0;0;0;2
"239";0;0;0;0;0;0;0;0;1
"240";0;0;0;0;0;0;0;0;2
"241";0;0;0;0;0;0;0;0;2
"242";0;0;0;0;0;0;0;0;0
"243";0;0;0;0;0;0;0;3;3
"244";0;0;0;0;0;0;0;3;3
"245";0;0;0;0;0;0;0;0;1
"246";0;0;0;0;0;0;0;0;1
"247";0;0;0;0;0;0;0;0;2
"248";0;0;0;0;0;5;5;5;5
"249";0;0;0;0;0;0;0;0;2
"250";0;0;0;0;0;0;0;0;2
"251";0;0;0;0;0;0;0;0;2
"252";0;0;0;0;0;0;0;3;3
"253";0;0;0;0;0;0;0;0;2
"254";0;0;0;0;0;0;0;0;1
"255";0;0;0;0;0;0;0;0;0
"256";0;0;0;0;0;0;0;0;0
"257";0;0;0;0;0;0;0;3;3
"258";0;0;0;0;0;0;0;0;2
"259";0;0;0;0;0;0;0;3;3
"260";0;0;0;0;0;0;0;3;3
"261";0;0;0;0;0;0;0;3;3
"262";0;0;0;0;0;0;0;0;2
"263";0;0;0;0;0;0;0;0;2
"264";0;0;0;0;0;0;0;0;2
"265";0;0;0;0;0;0;0;0;2
"266";0;0;0;0;0;0;0;0;2
"267";0;0;0;0;0;0;0;0;1
"268";0;0;0;0;0;0;0;0;2
"269";0;0;0;0;0;0;0;0;2
"270";0;0;0;0;0;0;0;0;1
"271";0;0;0;0;0;5;5;5;5
"272";0;0;0;0;0;0;0;0;2
"273";0;0;0;0;0;0;0;3;3
"274";0;0;0;0;0;0;0;0;2
"275";0;0;0;0;0;0;0;3;3
"276";0;0;0;0;0;0;0;0;0
"277";0;0;0;0;0;0;0;0;0
"278";0;0;0;0;0;0;4;4;4
"279";0;0;0;0;0;0;0;0;0
"280";0;0;0;0;0;0;0;0;0
"281";0;0;0;0;0;0;0;0;0
"282";0;0;0;0;0;0;0;0;0
"283";0;0;0;0;0;0;0;0;0
"284";0;0;0;0;0;0;0;0;0
"285";0;0;0;0;0;0;0;0;0
"286";0;0;0;0;0;0;0;0;0
"287";0;0;0;0;0;0;0;0;0
"288";0;0;0;0;0;0;0;0;0
"289";0;0;0;0;0;0;0;0;0
"290";0;0;0;0;0;0;0;0;0
"291";0;0;0;0;0;0;4;4;4
"292";0;0;0;0;0;0;0;0;0
"293";0;0;0;0;0;0;0;0;0
"294";0;0;0;0;0;0;0;0;0
"295";0;0;0;0;0;0;0;0;0
"296";0;0;0;0;0;0;4;4;4
"297";0;0;0;0;0;0;4;4;4
"298";0;0;0;0;0;0;0;0;0
"299";0;0;0;0;0;0;0;0;0
"300";0;0;0;0;0;0;0;0;0
"301";0;0;0;0;0;0;0;0;0
"302";0;0;0;0;0;0;0;0;0
"303";0;0;0;0;0;0;0;0;0
"304";0;0;0;0;0;0;0;0;0
"305";0;0;0;0;0;0;0;0;0
"306";0;0;0;0;0;0;0;0;0
"307";0;0;0;0;0;0;0;0;0
