"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"ouvrier";-0,14035621943245;-0,827599387530962;-0,167206820744482;-0,985921842285951;0,0412839776660676;0,958716022333932;3,89777600471e-05;0,00135517030096411;0,00197857972385909;0,397903286710943;0,000313262642542349
"jacques";-0,0903368540931565;0,121736551817242;-0,59591578929107;0,803046930181295;0,451885137535228;0,548114862464771;9,91617310896869e-06;1,8007613762568e-05;0,00121510602606564;0,0774083063851901;7,28097107842113e-06
"agricole";-1,65789942063466;0,452315510494143;-0,96474001710378;0,263204672068332;0,952638423598583;0,0473615764014176;0,00455169142002749;0,000338796888459405;0,00165598520366467;0,978432262519281;0,00158532380554157
"loi";0,344323247812036;-0,939021191204036;0,344268290366106;-0,938871313998036;0,167570612226187;0,832429387773811;0,000223103545552175;0,00165929867486551;0,00188180136780077;0,484511455682636;0,000441755412817204
"début";-0,27476568995019;-0,228372757333923;-0,769044694331598;-0,639195007896979;0,684266670937736;0,315733329062265;0,000152622507014013;0,000105434361294595;0,00202159232655168;0,191331483896361;7,40059196657584e-05
"place";0,12804623573207;0,143247567109148;0,666440280328239;0,745558416729379;0,544681694310717;0,455318305689284;3,33220081906089e-05;4,17034558070065e-05;0,00203234547722483;0,0999383230536358;2,02983927307849e-05
"économie";-1,29600085107776;0,322777008340169;-0,970357611933639;0,241673550398971;0,960217182537104;0,0397828174628969;0,00294397358571409;0,000182611666409564;0,001752763559723;0,761828441239904;0,00101727342619865
"homme";-0,312154883229486;0,124405795664032;-0,928944050952445;0,370220137485877;0,904085969209291;0,0959140307907096;0,00018860295929204;2,99563890819409e-05;0,0019355671211665;0,189104516072573;6,92168828748285e-05
"général";1,1194632867567;-0,595731821004626;0,882783238065904;-0,469780538751743;0,840934649361933;0,159065350638067;0,00233131815044226;0,000660212026780134;0,00186029506645447;0,703178143906405;0,000919840572257996
"ancien";0,672298105786413;0,56226880687614;0,767086349207505;0,641543866668135;0,681573923418776;0,318426076581226;0,000865126287817022;0,00060512307616557;0,00191406081982021;0,469074729101798;0,000421152910488437
