"";"classe 1";"classe 2";"classe 3"
"dieu";-0,182;-1,018;1,232
"desmoulins";8,239;-1,274;-4,056
"danger";5,019;-0,165;-3,607
"courir";-0,33;4,156;-0,716
"convenir";-9,37;0,666;5,832
"confirmer";2,393;0,666;-4,27
"clan";-8,76;79,896;-10,748
"cerveau";-7,434;-1,913;12,992
"capable";-1,142;-1,153;3,165
"bond";17,067;-3,031;-7,945
"bonaparte";19,622;-2,871;-9,866
"bienvenue";8,089;-0,796;-4,629
"bibliothèque";3,065;-0,055;-2,373
"avantage";-6,185;-3,031;13,09
"autoritaire";1,179;4,483;-6,323
"associer";-0,062;-2,711;1,892
"assassinat";16,495;-0,02;-14,834
"armer";8,58;4,483;-18,552
"appui";13,384;-0,165;-10,748
"aider";0,122;0,863;-0,96
"adapter";-11,782;-3,031;20,589
"adaptation";-8,676;-2,232;15,161
"étudier";-6,185;-1,153;9,975
"époux";0,348;3,193;-3,255
"éliminer";18,055;-2,711;-8,99
"vérité";-1,186;-0,757;2,751
"volontaire";5,019;-3,031;-0,96
"versailles";20,943;-2,552;-11,226
"vendre";-6,185;-1,153;9,975
"varenne";16,189;-1,593;-9,264
"trahison";7,36;5,125;-17,622
"tonne";-9,297;-0,002;8,976
"tomber";0,122;0,068;-0,27
"supprimer";11,961;-1,018;-7,122
"substituer";-4,057;-1,153;7,282
"spécialisation";-11,16;-2,871;19,503
"spontané";4,006;3,007;-9,866
"soulever";5,019;0,068;-5,564
"science_fiction";-8,676;-2,232;15,161
"régner";0,296;-1,018;0,027
"rébellion";7,563;-0,886;-4,106
"romain";0,063;-0,886;0,163
"renvoyer";-0,015;0,863;-0,27
"quartier";11,961;0,132;-13,056
"pur";0,208;-0,757;0,024
"promouvoir";-6,185;12,951;-0,004
"prince";13,384;-3,031;-5,564
"placer";1,677;-0,165;-0,96
"pib";-9,297;-2,392;16,246
"payot";-1,674;-2,232;5,232
"palais";0,676;18,2;-13,974
"organisme";-0,355;0,068;0,16
"négociation";1,677;8,592;-10,748
"mile";-0,03;-0,478;0,416
"loyaliste";9,189;-2,552;-3,415
"london";-2,475;12,686;-0,852
"locomotive";-6,814;-1,753;11,907
"live";-1,856;-0,478;3,244
"lisbonne";30,796;-3,031;-17,622
"ligue";6,331;1,72;-11,226
"leader";0,063;10,839;-6,312
"latin";-2,875;-2,072;6,973
"italic";0,235;-0,637;0,006
"issn";-0,03;7,101;-2,777
"invasion";21,196;-3,031;-10,748
"indien";-0,182;-2,871;2,504
"gouvernemental";2,298;9,644;-13,056
"féministe";-1,955;1,099;0,407
"fonte";-8,76;-3,031;16,628
"fleur";14,943;-0,633;-10,315
"expansion";-0,355;-1,153;1,74
"erreur";-2,376;2,548;0,16
"entretenir";-2,376;0,068;1,74
"entreprendre";0,063;-0,055;-0,007
"enlai";25,923;-2,552;-14,834
"encourager";0,003;-2,871;1,232
"edward";-7,434;-1,913;12,992
"détenu";-0,559;29,255;-8,99
"double";0,348;-2,072;0,175
"directoire";25,923;-2,552;-14,834
"directeur";-0,559;15,982;-4,106
"cuivre";0,148;-1,434;0,203
"coton";-11,782;-3,031;20,589
"concentration";-11,782;-1,153;16,628
"comparer";-2,875;3,193;0,175
"chiffre";0,208;-0,02;-0,119
"cesser";-2,376;-3,031;7,282
"by";-2,475;4,446;0,006
"brumaire";12,576;-2,552;-5,517
"bout";7,85;-0,633;-4,739
"blé";-11,782;-3,031;20,589
"avancée";-5,614;3,007;1,232
"anne";-0,592;0,859;0,012
"agitation";6,186;0,132;-7,122
"adversaire";10,149;-0,165;-7,945
"accélérer";-0,306;0,03;0,175
"absolu";1,061;-2,871;0,027
"abattre";24,161;-1,018;-16,693
"écarter";0,296;5,855;-4,824
"âgé";-9,297;8,759;0,859
"virginie";20,943;-2,552;-11,226
"victor";0,348;0,03;-0,48
"vendée";24,299;-2,392;-13,905
"variété";-9,297;-2,392;16,246
"tom";-1,181;-0,956;2,994
"tchéka";25,923;-2,552;-14,834
"sonore";-3,714;-0,956;6,491
"scolastique";-11,16;-2,871;19,503
"salaire";-0,062;-0,886;0,791
"régional";-5,049;29,255;-2,373
"revendiquer";0,296;-0,104;-0,094
"ressource";-1,556;-0,886;3,465
"rejet";0,296;-1,018;0,027
"rassembler";3,065;0,221;-4,106
"rassemblement";-0,833;42,694;-13,056
"rapprocher";0,003;-2,871;1,232
"qing";24,299;-2,392;-13,905
"procédé";-9,297;-2,392;16,246
"post";-0,553;5,725;-0,856
"polémique";-1,674;22,321;-3,984
"pointer";-1,674;0,004;1,48
"playboy";-0,703;2,916;-0,13
"planète";-5,049;-0,886;8,029
"photographie";-0,33;-0,02;0,431
"perrin";-0,296;-0,637;1,164
"organisé";4,005;1,72;-8,121
"offensive";25,923;-2,552;-14,834
"occupation";24,161;-1,018;-16,693
"nourrir";-0,833;-0,104;1,232
"napoléon";8,837;-2,871;-2,972
"mécanisation";-9,918;-2,552;17,331
"municipal";22,551;-2,711;-12,14
"moral";0,296;-2,871;0,407
"moeurs";1,455;-0,633;-0,391
"massachusetts";8,87;-1,753;-3,939
"marshall";1,455;-0,633;-0,391
"manuel";1,347;-2,072;-0,019
"man";-2,475;-0,637;4,326
"maintien";4,006;-2,871;-0,607
"lourd";0,296;-1,018;0,027
"langue";2,209;-2,552;-0,119
"judiciaire";-0,003;24,478;-11,226
"isabelle";-8,151;86,061;-13,056
"insurgé";25,923;-2,552;-14,834
"impossible";3,021;-2,392;-0,391
"immédiatement";6,186;-0,104;-4,824
"immense";0,564;-2,711;0,163
"imaginer";-2,112;-0,002;2,085
"hôtel";24,161;-2,871;-13,056
"gens";-1,556;-0,886;3,465
"frère";2,128;0,004;-2,133
"foi";1,347;0,03;-1,559
"exploiter";-11,16;-1,018;15,554
"essentiel";-5,614;-2,871;12,052
"efficace";-1,955;-0,104;2,504
"dialogue";-4,491;0,341;2,751
"cueilleur";-10,539;-2,711;18,417
"craindre";0,943;-0,02;-0,716
"continent";-5,049;-2,711;11,019
"contenu";-0,833;1,099;0,027
"commandant";22,676;-2,232;-12,976
"climatique";-9,918;-2,552;17,331
"chaîne";-6,336;2,124;2,085
"chance";3,015;-1,753;-0,603
"carbone";-9,918;-2,552;17,331
"bourse";-4,491;-0,757;7,078
"bold";0,825;0,004;-0,856
"autopsie";-1,699;-1,115;3,981
"artisan";-3,549;-2,871;8,995
"arrivée";-0,182;-0,104;0,407
"annexe";-4,546;1,289;1,668
"alfred";-3,958;-1,753;8,104
"agriculteur";-6,939;-2,552;13,412
"admettre";2,298;-2,871;-0,094
"accroissement";-10,539;-2,711;18,417
"accident";-0,037;-2,232;1,48
"1re";2,059;-0,956;-0,521
"émettre";-0,037;-0,514;0,464
"vitesse";-7,544;-0,886;11,019
"velours";14,543;-0,295;-11,12
"téléphone";-6,939;-0,02;7,078
"tsar";16,495;-0,02;-14,834
"trabelsi";-9,297;80,418;-10,315
"tibet";16,495;-0,02;-14,834
"thème";0,063;-0,055;-0,007
"tenue";0,564;10,839;-8,99
"system";-7,434;-1,913;12,992
"sphère";-3,402;0,702;1,48
"sino";25,923;-2,552;-14,834
"simplement";6,553;-2,232;-2,133
"signe";-0,062;0,221;-0,007
"signature";6,553;-2,232;-2,133
"sentiment";4,037;-0,514;-2,133
"secrétaire";1,455;13,768;-13,905
"samuel";-8,055;-2,072;14,076
"renouvellement";-1,186;-2,552;4,663
"renaissance";-8,055;-2,072;14,076
"regard";-3,053;-2,711;8,029
"rapporter";-4,491;4,156;0,431
"progressif";-3,053;-0,886;5,511
"productif";-9,297;-2,392;16,246
"pie";-0,002;-0,01;0,012
"pesticide";-9,297;-2,392;16,246
"penseur";-10,539;-0,886;14,482
"pauvre";-2,573;-0,757;4,663
"observer";-5,049;-2,711;11,019
"nécessiter";-7,544;-2,711;14,482
"métaphysique";-9,297;-2,392;16,246
"multiple";-0,306;17,696;-5,569
"montagne";0;-2,072;0,948
"monnaie";-4,491;-2,552;9,994
"mexicain";-2,573;-2,552;7,078
"maoïste";16,138;-2,072;-8,499
"liban";-0,553;39,428;-12,976
"lewis";-4,546;-1,913;9,158
"just";14,568;-1,434;-8,336
"joindre";5,177;0,044;-5,555
"inventeur";-7,544;-2,711;14,482
"intégrer";-3,053;-2,711;8,029
"introduire";-10,539;-0,055;11,019
"inférieur";-4,491;-2,552;9,994
"infoboxarticle";-4,954;-1,274;8,656
"hongrie";9,674;-2,232;-3,984
"google";-3,402;15,581;-0,856
"genève";0,455;4,878;-4,739
"féminin";-2,112;-2,392;6,144
"fixer";0,564;-2,711;0,163
"fille";6,553;-0,514;-3,984
"fidèle";-0,062;6,691;-2,373
"ficher";-0,592;-1,274;2,329
"exemplaire";-1,556;-0,886;3,465
"espérer";9,189;-0,757;-5,517
"envisager";-1,674;10,048;-0,856
"engels";0,063;-2,711;0,791
"emparer";18,055;-2,711;-8,99
"démissionner";0,564;22,121;-15,763
"dizaine";3,065;0,221;-4,106
"dissoudre";7,563;3,539;-15,763
"diplomatique";0,208;12,202;-8,121
"destiner";7,563;-2,711;-2,373
"degré";-1,264;-2,072;4,347
"controverse";-7,544;0,221;5,511
"contre_révolution";22,676;-2,232;-12,976
"compléter";-5,139;-0,401;6,973
"complètement";-0,553;-0,514;1,48
"citation";5,153;-2,392;-1,305
"causer";-5,049;3,539;0,791
"capacité";-1,556;-2,711;5,511
"calme";0,063;29,255;-15,763
"brown";-6,814;-1,753;11,907
"bouazizi";-9,918;100,762;-14,834
"bonheur";-1,674;-2,232;5,232
"berger";11,328;-1,115;-6,482
"benjamin";0,455;-2,392;0,168
"avance";-0,062;-0,055;0,163
"audience";6,553;-2,232;-2,133
"artistique";-9,297;-0,633;12,344
"aristote";-10,539;-2,711;18,417
"abrogation";3,021;-2,392;-0,391
"égard";0,825;0,004;-0,856
"wang";11,114;0,499;-13,905
"volume";0,014;-1,593;0,572
"viii";3,021;-2,392;-0,391
"urbanisation";-6,939;-2,552;13,412
"uniquement";0,02;-0,633;0,168
"tulipe";-2,875;55,251;-12,048
"tocqueville";-2,804;-0,052;3,189
"théoricien";-0,33;-2,552;2,751
"terminer";0,455;-0,633;-0,012
"suprématie";-4,546;-1,913;9,158
"suffrage";19,338;-0,633;-13,905
"spécialiser";-3,941;-2,392;8,976
"soumettre";1,455;-2,392;-0,012
"sol";-3,376;-1,593;7,057
"signifier";-4,491;-0,02;4,663
"savant";-8,055;-2,072;14,076
"salle";8,263;-2,072;-3,255
"retard";-2,573;-2,552;7,078
"restauration";6,553;-2,232;-2,133
"relancer";3,021;-2,392;-0,391
"ratifier";19,338;-0,633;-13,905
"quart";-0,849;-2,392;3,847
"purger";9,189;-0,02;-8,121
"précéder";1,455;-0,633;-0,391
"professionnel";0,208;-2,552;0,431
"pro";-0,037;30,271;-12,976
"privilège";9,189;-2,552;-3,415
"poursuite";1,455;13,768;-13,905
"parution";-0,061;6,67;-2,37
"pacte";20,943;-2,552;-11,226
"oeil";2,209;0,341;-3,415
"notable";4,005;-0,757;-1,814
"mécontentement";5,153;-0,002;-4,739
"mère";1,347;0,961;-3,255
"minier";-8,055;6,726;0,948
"micro";2,013;-1,593;-0,26
"max";-4,546;-1,913;9,158
"maoïsme";17,736;-2,232;-9,405
"main_d_oeuvre";-6,939;-2,552;13,412
"lutter";2,209;-0,757;-0,716
"kirghizstan";-2,364;49,167;-11,12
"jeter";0,943;-2,552;0,024
"inviter";0,455;0,499;-1,305
"intituler";-0,306;0,03;0,175
"ier";0;-0,401;0,175
"héliocentrisme";-8,676;-2,232;15,161
"héliocentrique";-9,918;-2,552;17,331
"hostile";11,114;0,499;-13,905
"hebdomadaire";-1,264;25,133;-5,569
"géographique";-3,941;-2,392;8,976
"glorieux";5,305;-2,072;-1,559
"franc";-0,306;0,961;-0,019
"foncier";-1,186;-2,552;4,663
"exportation";-9,918;-0,757;13,412
"essayer";0,943;0,341;-1,814
"engagement";0;0,03;-0,019
"décréter";16,495;-0,757;-11,226
"découvrir";0,061;-0,295;0,018
"dominant";-1,186;-2,552;4,663
"dollar";-6,939;24,478;-0,716
"digital";-6,814;-1,753;11,907
"céder";0,943;-0,757;-0,119
"couple";-7,434;-0,295;9,158
"cosmologique";-8,676;-2,232;15,161
"correspondant";-1,873;-1,753;5,03
"contre_révolutionnaire";19,338;-0,633;-13,905
"connecter";-7,434;-1,913;12,992
"confier";12,576;0,341;-14,834
"chimique";-3,941;-2,392;8,976
"chasse";-1,873;-1,753;5,03
"brûler";0,02;8,759;-4,739
"belgique";0,348;0,03;-0,48
"baptiste";-1,873;-1,753;5,03
"bakiev";0,348;17,696;-12,048
"autriche";14,943;-2,392;-7,259
"automobile";-8,676;-0,514;11,278
"attacher";-2,573;-2,552;7,078
"assister";-0,003;-0,757;0,431
"aspiration";9,189;-0,757;-5,517
"argent";4,005;-0,757;-1,814
"appareil";-0,003;-2,552;1,34
"annie";1,006;2,916;-4,629
"analyser";-6,939;-2,552;13,412
"amérindien";0,061;-1,913;0,509
"alternative";-3,941;2,124;0,859
"alexis";-1,699;1,303;0,232
"aimer";-2,112;13,768;-1,305
"administratif";0,208;-0,757;0,024
"étienne";-1,873;1,706;0,186
"érotique";-5,736;-0,514;7,969
"youtube";-3,095;31,442;-4,629
"xavier";-2,804;-1,434;6,019
"we";0,235;0,429;-0,852
"voisin";-0,849;2,124;-0,012
"viol";3,021;4,878;-10,315
"vigueur";0,02;2,124;-1,305
"témoignage";0;0,03;-0,019
"théâtre";11,114;-2,392;-4,739
"terrain";-0,849;0,499;0,168
"tchécoslovaquie";17,736;-0,514;-12,976
"surveillance";0,128;5,725;-3,984
"supporter";4,12;-1,913;-1,044
"stable";-0,849;-0,633;2,085
"spécifique";-0,849;-2,392;3,847
"similaire";-0,152;0,499;-0,012
"say";-3,714;-0,956;6,491
"révélation";-2,112;4,878;-0,012
"réponse";2,06;0,088;-2,56
"réfractaire";5,305;-2,072;-1,559
"réception";-1,674;0,004;1,48
"rumeur";0,02;19,905;-10,315
"roser";19,432;-1,913;-11,12
"robot";-6,194;-1,593;10,824
"remise";1,455;0,499;-2,755
"recours";0,455;-2,392;0,168
"recommandation";-3,376;-1,593;7,057
"rare";-3,941;0,499;2,085
"préférer";5,153;-0,633;-2,755
"propager";13,402;0,004;-12,976
"producteur";-1,181;-0,956;2,994
"poids";0,02;-2,392;0,859
"paysannerie";3,021;-2,392;-0,391
"party";16,189;-1,593;-9,264
"paléolithique";-6,814;-1,753;11,907
"négatif";-2,112;-0,002;2,085
"nationalisation";4,037;-2,232;-0,856
"natalité";-8,055;-2,072;14,076
"métropole";0,455;-0,633;-0,012
"monétaire";-8,055;-2,072;14,076
"modernité";-3,402;-2,232;7,969
"marchandise";-6,336;-0,633;8,976
"mandraud";-9,297;94,452;-13,905
"lévy";-0,03;-0,478;0,416
"légal";-1,674;10,048;-0,856
"logique";-1,264;0,03;0,948
"litovsk";13,402;-2,232;-6,408
"lesage";8,263;-2,072;-3,255
"laurent";-4,546;0,088;3,496
"lady";-0,03;-0,478;0,416
"kasbah";-3,402;61,369;-12,976
"k";-0,276;-1,115;1,533
"jusque_là";-0,849;2,124;-0,012
"ioulia";-9,297;94,452;-13,905
"instrument";0;-0,401;0,175
"inquiétude";-3,402;0,004;3,07
"info";-8,055;67,893;-8,499
"influencer";-0,152;-0,633;0,859
"inconnu";2,013;-1,593;-0,26
"human";-3,095;-0,796;5,408
"hausse";-1,674;-0,514;3,07
"gros";-8,676;-2,232;15,161
"gille";-8,676;39,428;-2,133
"gaz";-2,112;0,499;0,859
"gafsa";-9,297;94,452;-13,905
"fête";10,362;-0,295;-7,597
"féodal";0,02;-2,392;0,859
"fuir";-0,037;10,048;-3,984
"ford";-7,434;-1,913;12,992
"fonctionnaire";1,455;0,499;-2,755
"fil";-2,875;-2,072;6,973
"facebook";-9,297;27,171;-0,391
"entièrement";0,128;0,004;-0,152
"enlever";-3,958;-0,2;5,03
"démocrate";0,455;19,905;-13,905
"délégué";19,338;-2,392;-10,315
"définitivement";-0,152;-0,002;0,168
"doute";0,455;-0,633;-0,012
"dos";19,432;-1,913;-11,12
"description";-3,714;-0,956;6,491
"dangereux";5,305;-2,072;-1,559
"couper";7,85;-0,633;-4,739
"contribution";0,707;7,921;-7,597
"contradiction";-0,553;-0,514;1,48
"confronter";0,02;-0,633;0,168
"condamnation";0,455;-0,002;-0,391
"concentrer";-2,112;-2,392;6,144
"cohn";-6,336;80,418;-13,905
"coeur";-3,941;2,124;0,859
"choix";-3,941;-0,002;3,847
"chimie";-8,055;-2,072;14,076
"chen";19,432;-1,913;-11,12
"castro";19,432;-1,913;-11,12
"cahier";4,589;-0,01;-4,056
"brest";13,402;-2,232;-6,408
"bendit";-6,336;80,418;-13,905
"autonome";2,128;-2,232;-0,152
"auguste";-6,194;-1,593;10,824
"attentat";8,263;0,961;-12,048
"astronomie";-7,434;-1,913;12,992
"antiquité";-3,376;0,333;1,932
"anonyme";-1,873;-0,2;2,686
"amériques";-2,475;-0,637;4,326
"amélioration";-1,674;-2,232;5,232
"air";0,825;-2,232;0,021
"ahmed";-8,055;81,836;-12,048
"accentuer";2,06;-1,913;-0,197
"4e";0,148;-1,434;0,203
"évènement";2,128;5,725;-9,405
"écran";-6,814;-1,753;11,907
"ébranler";-1,873;-1,753;5,03
"virtuel";-8,676;-2,232;15,161
"ultra";11,874;-2,072;-5,569
"télécommunication";-8,055;-2,072;14,076
"transporter";-8,676;-2,232;15,161
"totalement";-0,037;-2,232;1,48
"thermidor";17,81;-1,753;-10,192
"take";4,852;-0,478;-2,777
"séparer";9,674;-2,232;-3,984
"syrien";2,013;5,835;-9,264
"syndical";-1,264;33,871;-8,499
"suspendre";1,244;4,766;-6,7
"stratégie";-0,121;-0,295;0,509
"stone";2,059;0,044;-2,37
"statut";0,348;-0,401;-0,019
"star";0,471;-1,274;0,012
"standard";-6,194;11,123;0,015
"spécial";2,128;-0,514;-0,856
"song";12,948;-1,274;-7,409
"sauver";3;-2,072;-0,48
"réhabiliter";0,061;0,088;-0,197
"régiment";22,676;-2,232;-12,976
"ré";2,293;-0,637;-0,852
"rompre";6,553;0,004;-6,408
"rentrer";5,305;-2,072;-1,559
"renoncer";4,037;-0,514;-2,133
"remporter";10,362;0,088;-11,12
"radicalement";-5,736;-2,232;11,278
"puissant";0,348;0,03;-0,48
"précisément";-8,676;-0,514;11,278
"proximité";-3,402;0,702;1,48
"procéder";5,305;-2,072;-1,559
"portrait";3;0,03;-3,255
"pied";-0,037;-2,232;1,48
"perfectionner";-8,055;-2,072;14,076
"participation";0,014;11,123;-5,81
"pain";0,061;3,901;-2,56
"oublier";3,015;-0,2;-1,906
"orientation";0,128;-2,232;0,464
"ordonner";6,553;-0,514;-3,984
"nantes";-2,875;0,03;2,339
"médecin";-1,674;22,321;-3,984
"modernisation";-1,674;-2,232;5,232
"mer";-1,674;-2,232;5,232
"menacer";9,674;-2,232;-3,984
"matin";0;25,133;-12,048
"mathématique";-8,676;-2,232;15,161
"marxiste_léniniste";6,695;-1,115;-3,201
"marat";19,432;-1,913;-11,12
"mandat";-0,306;25,133;-8,499
"majoritairement";-0,037;2,609;-0,856
"machinisme";-8,676;-2,232;15,161
"législation";-8,055;-2,072;14,076
"luc";4,589;-1,274;-1,705
"kiev";-1,873;43,123;-10,192
"kerensky";22,676;-2,232;-12,976
"jésuite";-0,889;-1,913;3,496
"jules";-0,976;-1,434;3,189
"iv";2,013;-1,593;-0,26
"instruction";2,128;0,702;-3,984
"instance";-1,674;5,725;-0,152
"incapable";0,825;2,609;-3,984
"hébertistes";21,054;-2,072;-12,048
"hill";8,263;-0,401;-5,569
"heurter";1,244;-0,2;-0,603
"génie";-3,714;-0,956;6,491
"grossesse";-1,674;-0,514;3,07
"grec";-0,553;-2,232;3,07
"graine";-8,055;-2,072;14,076
"genèse";0,014;-1,593;0,572
"fiction";-3,958;-1,753;8,104
"fayette";17,81;-1,753;-10,192
"faux";-1,264;0,03;0,948
"faim";-0,037;-0,514;0,464
"exposer";-5,736;-2,232;11,278
"esclavage";2,06;-1,913;-0,197
"enragé";14,543;-1,913;-7,597
"dégager";-5,736;15,581;-0,152
"définitif";-0,037;-0,514;0,464
"déclin";-2,364;-1,913;5,992
"déboucher";0,128;-2,232;0,464
"dysfonctionnement";-5,139;11,561;-0,019
"dynamique";-1,407;-1,593;4,093
"drainage";-6,194;-1,593;10,824
"discussion";-3,402;22,321;-2,133
"cycle";-5,573;-0,052;6,019
"culte";6,553;-0,514;-3,984
"cri";3,273;-1,115;-1,066
"courrier";-2,875;6,726;-0,019
"corn";-7,434;-1,913;12,992
"consulat";7,404;-1,593;-3,158
"considérablement";-0,016;1,706;-0,603
"compagnon";8,239;-1,274;-4,056
"combustion";-7,434;-1,913;12,992
"circuler";-0,553;0,004;0,464
"cinquième";6,888;1,289;-11,12
"cf";-0,091;7,178;-2,409
"canon";14,543;-1,913;-7,597
"calendrier";12,955;-0,2;-10,192
"bulletin";2,128;5,725;-9,405
"benoit";-1,264;43,911;-12,048
"beau";-4,546;3,901;0,509
"avenir";-0,306;-2,072;2,339
"av";-7,434;-0,295;9,158
"auto";1,147;2,924;-4,927
"astronomique";-5,736;-2,232;11,278
"astronome";-5,139;-2,072;10,216
"assolement";-6,814;-1,753;11,907
"associé";-8,055;-2,072;14,076
"argument";-1,873;-1,753;5,03
"agence";-2,875;55,251;-12,048
"activiste";1,244;9,362;-10,192
"évidence";-8,055;-0,401;10,216
"éventuel";-0,592;16,084;-4,056
"étatique";-4,546;-0,295;5,992
"élevage";-6,814;-1,753;11,907
"électeur";16,138;-2,072;-8,499
"élaboré";-0,306;-0,401;0,948
"éditer";-2,804;-1,434;6,019
"écraser";3;-2,072;-0,48
"écho";-1,407;5,835;-0,26
"zine";-7,434;75,531;-11,12
"yves";-0,703;0,166;0,286
"venise";-8,055;3,193;2,339
"sécession";-0,976;-1,434;3,189
"suppression";10,362;-1,913;-4,744
"supplémentaire";-0,03;-0,478;0,416
"suffire";-2,875;0,961;0,948
"stratégique";14,543;-0,295;-11,12
"spécialiste";-4,546;-0,295;5,992
"spectaculaire";-5,139;-2,072;10,216
"souveraineté";8,263;-0,401;-5,569
"sommet";11,874;-2,072;-5,569
"society";4,284;2,238;-9,264
"silence";-0,889;28,44;-7,597
"serge";1,006;-0,796;-0,13
"saisir";-1,407;0,333;0,572
"résumer";-0,306;0,03;0,175
"résoudre";0;0,03;-0,019
"récupérer";0,014;0,333;-0,26
"récolte";1,347;-2,072;-0,019
"rivière";-1,873;0,184;1,071
"rivalité";0,707;-0,295;-0,197
"remplacement";0,348;-0,401;-0,019
"remonter";-5,139;-0,401;6,973
"record";-0,703;0,166;0,286
"pétition";16,138;-2,072;-8,499
"pt";14,543;-0,295;-11,12
"précurseur";-4,546;-1,913;9,158
"prusse";1,347;-2,072;-0,019
"proto";-8,055;-2,072;14,076
"payer";-2,364;-0,295;3,496
"parallèle";-0,121;-0,295;0,509
"oriental";0,244;-1,753;0,186
"organe";5,305;3,193;-12,048
"opposé";0;-2,072;0,948
"office";0,348;-0,401;-0,019
"observation";-2,364;-1,913;5,992
"notice";0,353;-0,956;0,009
"normal";-3,376;2,238;0,572
"navire";-0,559;-1,753;2,686
"mlf";-2,875;55,251;-12,048
"massivement";3;-0,401;-1,559
"maréchal";19,432;-1,913;-11,12
"maritime";-3,958;-1,753;8,104
"lefebvre";-1,856;-0,478;3,244
"lecture";-1,407;-0,118;1,932
"kripke";-0,03;-0,478;0,416
"king";12,948;-1,274;-7,409
"jugement";11,874;-0,401;-8,499
"institute";-4,334;30,656;-3,201
"instituer";3;-2,072;-0,48
"insister";0,014;-0,118;0,015
"informer";-2,364;0,088;1,668
"industrialisé";-2,875;-2,072;6,973
"impérial";7,404;-1,593;-3,158
"identique";-4,546;-1,913;9,158
"identifier";-0,889;-0,295;1,668
"hésiter";5,305;-2,072;-1,559
"hégémonie";-2,875;-2,072;6,973
"hiérarchie";0,707;-0,295;-0,197
"générer";-8,055;-0,401;10,216
"généralisé";-0,889;-1,913;3,496
"grain";2,013;-1,593;-0,26
"gestion";-0,889;1,289;0,018
"forger";-0,306;-2,072;2,339
"fonds";-0,306;11,561;-3,255
"flux";-5,573;-1,434;9,74
"facilement";-8,055;-2,072;14,076
"expédition";8,87;-1,753;-3,939
"entamer";1,347;0,03;-1,559
"enfuir";8,263;0,03;-8,499
"empereur";7,404;-1,593;-3,158
"economic";-4,334;-1,115;7,573
"déterminer";-0,306;-0,401;0,948
"dossier";-3,958;1,706;1,071
"domicile";-1,264;-2,072;4,347
"dispositif";3;-0,401;-1,559
"dette";0,061;1,289;-1,044
"destination";1,147;0,549;-2,409
"cultiver";-5,139;-2,072;10,216
"crime";1,244;1,706;-3,939
"crainte";0;-2,072;0,948
"couverture";-4,546;13,351;-0,197
"contrairement";-0,559;1,706;-0,03
"contrainte";-2,875;-2,072;6,973
"conclure";-1,407;-0,118;1,932
"commenter";4,284;-1,593;-1,308
"colonisation";-0,559;-1,753;2,686
"clore";0,014;0,333;-0,26
"christophe";-3,958;4,766;0,186
"charlie";4,852;-0,478;-2,777
"chapitre";-5,573;7,178;0,203
"chaos";-0,091;13,31;-4,927
"caron";-3,714;-0,956;6,491
"cannibalisme";8,87;-1,753;-3,939
"camille";2,293;0,429;-3,703
"bruxelles";-1,264;0,03;0,948
"blaiser";-6,194;-1,593;10,824
"bientôt";-1,264;-0,401;2,339
"aéroport";19,432;-1,913;-11,12
"avorter";-2,875;55,251;-12,048
"avancé";-0,121;-1,913;1,668
"attitude";-3,958;1,706;1,071
"assurance";0,589;-1,593;0,015
"amendement";0,707;13,351;-11,12
"affiche";4,12;1,289;-7,597
"affecter";-1,264;0,03;0,948
"acts";3,015;-1,753;-0,603
"accumulation";-6,814;-0,2;8,104
"académie";-6,194;0,333;4,093
"abidine";-7,434;75,531;-11,12
"évêque";-0,121;28,44;-11,12
"élève";2,013;2,238;-5,81
"élever";-2,364;1,289;0,509
"égypte";-2,364;13,351;-1,044
"écossais";-7,434;-1,913;12,992
"zh";-2,475;25,15;-3,703
"voyage";0,589;-0,118;-0,26
"violemment";2,06;3,901;-7,597
"vertu";6,888;-0,295;-4,744
"veille";1,244;0,184;-1,906
"vallée";-3,958;-1,753;8,104
"urgence";10,362;0,088;-11,12
"tunisia";-5,573;56,626;-8,336
"time";-2,475;25,15;-3,703
"territorial";11,372;-1,593;-5,81
"temple";8,239;-1,274;-4,056
"tchèque";8,87;-1,753;-3,939
"suspect";12,955;-0,2;-10,192
"stimuler";-7,434;-1,913;12,992
"stephenson";-7,434;-1,913;12,992
"souffrir";2,06;-1,913;-0,197
"sociologue";-7,434;-1,913;12,992
"situationniste";3,015;-1,753;-0,603
"shanghai";14,568;-1,434;-8,336
"scolaire";2,06;1,289;-4,744
"schumpeter";-4,954;-1,274;8,656
"réédition";-1,856;-0,478;3,244
"résumé";-0,121;1,289;-0,197
"résulter";-7,434;-1,913;12,992
"rédaction";-2,804;-1,434;6,019
"récurrent";0,353;-0,956;0,009
"récent";-3,958;1,706;1,071
"roland";6,47;-0,637;-3,703
"reuters";-6,194;62,926;-9,264
"retourner";0,244;0,184;-0,603
"renforcement";10,362;-0,295;-7,597
"reconnaissance";-0,121;1,289;-0,197
"rationalisation";-6,194;-1,593;10,824
"pénétrer";2,06;-0,295;-1,044
"publicité";-7,434;-0,295;9,158
"prétendre";-0,889;-0,295;1,668
"précipiter";17,81;-1,753;-10,192
"protester";-0,559;23,168;-6,7
"prolétarien";8,87;-1,753;-3,939
"prolétaire";-4,546;-1,913;9,158
"procédure";0,061;13,351;-7,597
"positif";-4,546;-1,913;9,158
"plaindre";2,06;7,921;-11,12
"permanent";6,888;-1,913;-2,56
"perfectionnement";-7,434;-1,913;12,992
"people";2,293;0,429;-3,703
