"";"classe 1";"classe 2";"classe 3"
"acte";0,506;-0,264;-0,114
"école";1,925;-7,687;0,314
"text";-0,276;1,303;-0,076
"style";3,124;-3,031;-0,27
"représenter";-6,069;-5,67;16,291
"reconnaître";0,004;0,706;-0,405
"occidental";3,013;-3,751;-0,125
"néolithique";-30,507;-7,849;53,312
"matière";-10,891;-5,216;22,874
"massacre";56,6;-6,078;-31,57
"découverte";-14,69;-4,615;27,117
"annonce";-6,595;185,901;-47,528
"usine";-14,766;-5,216;28,199
"sexualité";-8,501;-5,217;19,439
"ouvrir";-7,016;-0,217;8,392
"orange";-20,662;259,794;-44,644
"navigation";-8,055;-0,401;10,216
"former";8,639;-1,288;-4,314
"défendre";-0,002;-2,303;1,186
"contemporain";-11,325;-4,904;23,023
"conduire";-0,265;-0,71;1,168
"compte";1,082;-0,565;-0,244
"bourgeois";5,635;-8,978;-0,06
"bolchevique";77,712;-9,14;-42,135
"york";5,262;-0,602;-2,878
"tenter";12,096;6,052;-25,776
"servir";0,894;-8,655;1,226
"printemps";15,164;0,325;-17,471
"paix";29,62;-4,615;-14,542
"ouest";6,257;-1,006;-3,034
"modèle";-16,362;-9,14;36,198
"lancer";15,416;-1,087;-9,612
"imposer";1,435;-2,424;-0,009
"famille";0,515;0,262;-1,103
"dirigeant";36,956;-0,497;-29,449
"contenir";-4,765;-1,097;8,092
"citoyen";13,142;-0,037;-11,514
"act";1,949;-6,56;0,165
"vote";29,27;0,812;-34,603
"tenir";43,87;-2,801;-27,973
"sein";2,151;0,521;-3,7
"privé";-22,468;-6,636;40,76
"parisien";14,108;14,474;-39,358
"méthode";-14,223;-0,102;15,113
"lumière";-11,205;-3,202;20,144
"li";5,973;-1,434;-2,409
"dénoncer";0,368;34,371;-21,421
"conflit";44,613;-1,95;-30,628
"condamner";14,092;1,666;-20,613
"bibliographie";-10,368;0,087;8,578
"établir";-4,988;-1,006;8,197
"voie";-2,81;-6,636;11,592
"victoire";26,952;0,121;-27,973
"urss";27,19;-3,009;-15,028
"troisième";-0,001;-1,395;0,712
"religieux";2,42;-3,875;-0,025
"charles";0,313;-4,281;0,777
"aide";7,155;1,524;-11,914
"étude";-25,577;-0,668;30,047
"utilisation";-18,14;-2,801;28,037
"soldat";77,709;-8,655;-42,862
"provenir";-1,119;0,369;0,372
"proposer";0,244;-0,062;-0,096
"mot";-3,522;-0,668;5,703
"millier";12,096;13,173;-34,603
"https";-0,573;4,483;-0,521
"h";16,686;-0,99;-10,807
"gallimard";-0,015;-3,031;1,74
"colonial";0,045;-8,494;3,246
"charbon";-33,015;-8,494;57,695
"usage";-16,352;-0,261;18,36
"second";0,837;0,433;-1,804
"principalement";-3,821;-1,006;6,719
"press";0,235;0,429;-0,852
"paraître";4,606;-2,04;-1,218
"moment";4,167;-1,611;-1,234
"londres";-0,007;-3,051;1,649
"idéologie";-11,56;-8,332;28,037
"désigner";-0,852;-6,32;6,914
"cacher";-3,053;-0,886;5,511
"but";2,835;-4,126;-0,057
"arrêter";9,355;3,062;-17,471
"étudiant";17,727;1,858;-25,339
"viktor";-26,75;271,776;-40,01
"succès";0,441;-4,615;0,695
"structure";-17,675;-7,526;35,743
"réclamer";11,077;4,165;-21,554
"réalité";-2,828;-0,748;4,978
"rural";-14,089;-7,849;31,14
"phénomène";-22,736;-4,17;36,529
"laisser";21,333;-2,801;-11,151
"claude";-13,559;-1,317;19,113
"attendre";1,925;-3,729;0
"www";-12,98;121,681;-16,764
"universitaire";-0,846;-0,157;1,363
"tranquille";20,349;-2,311;-11,157
"sembler";-7,993;0,121;6,299
"résultat";-1,698;3,313;0
"reprendre";7,562;1,499;-12,374
"présidentiel";-14,651;221,983;-42,772
"poste";0,305;38,945;-23,387
"moteur";-24,217;-4,904;39,834
"maladie";-19,691;-7,365;38,254
"local";1,397;-0,748;-0,307
"iouchtchenko";-28,002;270,026;-38,099
"insurrection";79,468;-6,162;-48,443
"index";-3,714;-0,956;6,491
"décider";35,172;-0,668;-27,093
"épisode";15,732;-0,004;-14,548
"énergie";-20,906;-7,687;40,408
"simon";-5,322;-3,439;12,397
"programme";18,234;-0,715;-12,748
"proche";-0,01;42,042;-19,068
"participer";13,108;-1,29;-7,501
"intellectuel";-0,005;-6,32;3,246
"démocratie";25,961;-2,409;-15,103
"débat";1,187;0,03;-1,389
"commerce";-12,974;-2,155;20,378
"collectif";-4,942;-3,509;11,918
"tentative";15,33;-3,875;-6,012
"réaction";1,084;4,054;-5,757
"précédent";1,084;2,508;-4,424
"nature";-9,709;-4,436;20,082
"inspirer";0,565;-1,431;0,009
"image";-7,354;0,303;5,099
"frédéric";-9,578;-0,281;11,392
"exister";-1,675;-2,281;5,286
"démocratique";1,701;8,164;-10,475
"donnée";-8,135;-2,311;14,601
"côté";5,86;-0,037;-4,936
"capital";-23,72;-0,447;27,013
"assurer";-0,001;-0,127;0,076
"animal";-17,565;-6,078;33,341
"voix";7,028;0,525;-9,471
"tête";14,173;0,775;-18,216
"sujet";-12,974;1,173;7,601
"php";-2,475;4,446;0,006
"philosophie";-20,02;-6,721;37,667
"parole";-0,439;8,047;-1,715
"externe";0,243;-1,665;0,167
"départ";-2,225;55,914;-13,69
"décrire";-13,53;-3,729;24,084
"date";2,841;0,352;-4,195
"réf";-11,962;-0,517;14,893
"représentant";23,326;0,433;-26,527
"propre";0;-2,867;1,397
"prolétariat";-1,187;-7,365;8,578
"porter";-0,01;0,03;0
"perspective";-10,157;-2,311;17,195
"naître";1,187;-7,687;0,723
"invention";-28,628;-7,365;50,028
"innovation";-29,254;-7,526;51,123
"henri";-10,157;-6,078;23,017
"discours";-0,457;11,55;-2,834
"charger";3,425;0,896;-6,012
"atteindre";0,837;0,054;-1,103
"soulèvement";41,648;-0,447;-33,824
"reprise";0,594;6,029;-5,959
"rapidement";-3,936;0,281;2,447
"partisan";1,81;10,907;-12,841
"parlement";0,038;42,042;-21,683
"marque";-3,223;0,054;2,514
"libérer";1,187;-0,062;-0,79
"jeunesse";11,062;0,868;-15,028
"favoriser";-25,464;-3,439;38,254
"engager";5,956;-3,875;-1,036
"copernicien";-21,126;-5,435;36,918
"banque";-3,039;5,552;0,005
"american";-2,112;-0,633;3,847
"acteur";0,243;-0,161;-0,041
"éd";-0,83;6,834;-0,837
"ère";-8,814;-1,665;14,259
"vidéo";-5,614;14,373;-0,094
"thèse";-1,946;0,002;1,762
"siège";6,487;27,608;-37,165
"ordinateur";-27,376;-7,043;47,84
"musique";-0,276;-1,115;1,533
"japon";-13,68;-5,756;27,561
"enregistrer";-3,376;-0,118;4,093
"défense";11,05;4,389;-21,866
"concept";-10,895;-7,526;26,009
"ajouter";0,504;0,443;-1,32
"xvi";34,151;0,002;-32,64
"title";-1,856;-0,478;3,244
"sortie";-3,223;31,572;-4,513
"rupture";-0,031;-2,03;1,329
"représentation";-8,135;-2,311;14,601
"relation";-0,112;0,011;0,064
"problème";1,369;-3,295;0,013
"oldid";-1,856;-0,478;3,244
"nommer";4,999;6,855;-15,824
"inventer";-18,791;-6,399;35,502
"fondateur";-2,245;-1,784;5,651
"désormais";-0,616;-3,439;4,165
"continuer";-1,943;34,587;-7,265
"commission";-0,319;37,614;-13,508
"capitale";36,413;0,308;-39,075
"blessé";0,041;46,888;-24,134
"afp";-24,874;252,714;-37,204
"émeute";10,044;23,184;-40,946
"wikimedia";0,014;2,238;-1,308
"ukrainien";-3,919;125,295;-33,466
"remplacer";-2,924;-1,665;6,511
"possible";-19,405;-0,549;22,989
"pensée";-3,712;-6,721;13,393
"niveau";-4,765;-0,331;6,346
"left";-2,475;25,15;-3,703
"joseph";0,321;-3,509;0,547
"institution";1,831;6,937;-9,799
"fournir";-0,767;-4,904;5,651
"diffuser";-3,274;-0,804;5,651
"dictature";21,333;-0,082;-18,447
"appuyer";-4,01;-5,217;12,397
"accord";22,098;-0,992;-15,101
"étendre";0,131;2,893;-2,322
"électrique";-7,927;-3,511;16,232
"échec";19,732;-1,547;-11,997
"véritable";1,949;-4,436;0,009
"viser";0,744;-0,262;-0,237
"service";-1,946;0,868;0,511
"résistance";33,476;-5,061;-16,626
"objet";-11,822;-0,549;14,856
"inscrire";1,696;-1,784;-0,12
"front";55,02;-1,665;-40,01
"commercial";-12,402;-6,078;26,247
"technologie";-20,02;-1,547;27,125
"radical";7,155;-6,238;-0,776
"proclamer";39,449;-0,209;-33,567
"prix";-1,398;-2,726;5,231
"prison";1,949;37,022;-30,789
"portugal";34,624;-0,602;-26,919
"monroe";14,943;-2,392;-7,259
"jeu";-0,66;-3,051;3,974
"influence";4,606;-0,209;-3,141
"importance";-10,244;-1,547;15,756
"finalement";4,999;-1,784;-1,573
"décision";6,487;0,178;-7,659
"dictionnaire";-0,559;-0,2;1,071
"david";-1,142;-1,153;3,165
"constituant";42,935;-0,549;-34,366
"chose";1,714;-0,992;-0,345
"censure";-5,864;91,003;-17,773
"brevet";-19,24;-5,756;35,03
"augmentation";-26,75;-3,009;38,75
"annoncer";-0,944;40,96;-11,997
"tuer";7,067;6,541;-18,898
"transformation";-13,559;-6,399;28,342
"tirer";0,091;-0,63;0,064
"sommaire";-0,031;-0,331;0,32
"républicain";31,905;-2,448;-19,499
"répondre";29,736;-1,317;-20,367
"risque";-5,203;-0,399;7,042
"rapide";-3,354;-0,216;4,414
"poursuivre";-0,002;18,249;-8,389
"poser";-10,708;-4,126;20,991
"largement";-4,207;-0,051;4,625
"individu";-10,244;-6,721;23,995
"for";0,244;4,766;-3,939
"favorable";-0,009;-4,281;2,298
"essai";-0,573;0,027;0,387
"durée";-0,001;-4,633;2,29
"civilisation";-5,424;-1,147;9,017
"boston";43,59;-5,274;-23,418
"apparition";-6,572;-2,867;13,393
"afrique";-11,255;3,88;3,633
"transformer";-0,009;-2,587;1,437
"total";0,001;2,893;-1,446
"syndicat";8,122;1,009;-11,997
"richard";-1,112;-1,392;3,379
"radio";-0,686;16,277;-3,895
"québécois";2,009;-3,356;-0,014
"propriété";0,417;-5,114;0,864
"peur";2,128;-2,04;-0,189
"passage";-7,995;-0,694;11,047
"ouverture";0,182;-2,04;0,323
"mode";-16,669;-4,436;29,394
"matériel";-14,515;-3,203;24,384
"james";-10,121;-3,356;18,973
"intérêt";1,355;-2,311;-0,007
"inde";-3,223;-4,953;10,752
"impact";-7,309;-2,587;13,967
"entendre";5,414;0,846;-8,389
"direction";-1,134;1,956;0,005
"contraire";-0,176;-2,587;2,298
"contester";-2,975;1,336;0,777
"contestation";0;10,58;-4,95
"combat";13,337;-0,549;-9,249
"champ";0,019;-5,274;2,091
"align";-0,061;1,949;-0,521
"électricité";-13,908;-5,114;26,881
"supérieur";-0,009;-1,317;0,777
"souligner";-2,975;0,055;2,298
"responsable";1,831;6,937;-9,799
"qualité";-4,495;-3,356;11,047
"piste";-1,181;-0,956;2,994
"partager";-0,66;-0,514;1,649
"média";-13,559;38,725;-0,497
"mohamed";-22,999;233,666;-34,4
"macron";-14,27;60,732;-2,87
"habitant";-0,921;-1,206;2,855
"finir";16,181;-2,175;-8,389
"entrer";0,085;-0,992;0,162
"disparaître";-0,007;-1,518;0,864
"dir";-0,296;0,429;0,006
"affrontement";4,164;26,775;-30,789
"émergence";-21,104;-4,126;34,421
"zedong";51,957;-5,114;-29,731
