1837;3;0;7
1801;3;0;6
1633;1;0;7
140;2;3;3
05;2;1;0
trente;2;3;4
seize;4;1;4
quel;6;0;3
madame;3;0;0
ma;3;1;0
dehors;1;2;6
32;2;1;4
239;2;1;1
1933;6;0;2
1927;3;0;2
1910;1;0;8
1906;1;0;7
1892;0;0;7
1875;2;0;7
1852;3;0;3
1796;6;0;2
1785;2;0;7
130;1;0;2
121;1;1;2
101;1;2;0
van;3;2;2
uns;4;0;4
quelle;1;0;4
nulle;7;0;1
jusque;1;0;7
duquel;2;1;5
dix_huit;2;1;2
dessous;1;4;2
auquel;4;0;4
80;2;1;3
69;1;1;2
67;1;1;1
58;4;0;0
46;1;0;2
331;1;2;0
1937;5;1;0
1926;4;0;3
1911;3;0;5
1896;2;0;6
1882;0;0;8
1851;3;0;5
1845;2;0;6
1842;1;0;6
1835;1;0;6
1831;3;2;3
1786;3;0;5
1738;0;0;6
1688;2;0;5
143;0;0;3
103;0;1;2
00;8;0;0
quoique;3;0;4
quatorze;1;2;4
quarante;1;0;5
merci;3;1;3
dia;1;0;2
autrefois;0;1;6
au_dessus;1;0;3
96;2;0;1
85;2;1;4
78;1;1;2
71;2;0;2
65;2;4;0
64;1;2;2
37;2;0;1
343;0;6;0
338;0;5;0
1947;4;0;2
1942;2;0;3
1941;2;0;3
1939;3;0;3
1929;0;0;4
1912;1;0;5
1902;1;1;5
1879;1;0;5
1876;0;1;5
1873;2;0;5
1863;0;0;7
1856;0;0;5
1839;2;0;4
1832;2;2;2
1806;1;0;6
1803;0;0;7
1771;1;0;6
1757;0;0;5
1723;0;0;7
1701;1;0;6
1600;0;0;6
115;1;2;1
110;3;0;2
à_l_instar;0;4;2
tandis_qu;4;0;2
soixante;1;2;3
sinon;3;0;3
quelquefois;2;0;4
quelles;1;2;3
elles_mêmes;1;1;4
demi;0;2;4
93;1;0;2
91;0;3;2
76;2;0;2
700;5;0;0
66;2;2;1
61;2;0;2
51;1;2;1
404;0;4;1
1946;3;0;1
193;1;1;2
1897;0;0;4
1874;0;0;6
1864;5;1;0
1849;1;0;5
1829;0;0;6
1817;3;0;3
1812;2;0;4
1759;2;0;4
174;0;4;0
1700;0;0;6
1641;0;0;5
1632;0;0;5
1608;2;0;3
134;1;1;1
126;1;1;1
08;1;3;1
quelconque;5;0;0
ci;0;1;3
autrui;1;0;4
98;2;1;0
97;0;2;1
89;1;3;0
73;1;1;2
54;4;0;0
486;1;0;4
420;0;0;5
218;3;0;1
1934;4;0;1
1931;2;0;3
191;2;0;2
1904;1;0;2
190;2;0;1
1899;1;0;2
1883;1;0;4
1881;0;0;5
1878;0;0;4
1865;1;0;3
1859;1;0;4
1854;0;0;4
1836;0;0;3
1827;1;0;4
1819;2;0;2
1811;0;0;5
1810;1;0;4
1807;0;0;5
1798;4;0;1
1784;1;0;4
1767;2;0;3
1766;3;0;2
1762;0;0;5
1690;0;0;3
1651;1;0;4
1615;0;0;5
1510;0;0;5
133;3;0;0
117;1;2;0
07;3;2;0
à_l_encontre;3;0;1
voilà;3;0;1
vingt_trois;2;2;0
soixante_dix;1;1;1
quelques_uns;3;0;1
monsieur;2;0;2
mes;2;0;1
hugh;1;0;2
hai;3;0;0
dommage;0;1;3
desquelles;0;0;4
demain;0;1;3
ci_dessous;0;1;3
auxquels;1;2;1
autrichiens;3;1;0
92;1;1;1
387;1;0;3
254;0;1;3
236;1;1;1
220;0;0;3
1925;2;0;1
1916;2;0;2
1901;0;0;3
1895;2;0;2
1889;0;0;4
1886;0;0;4
1872;0;0;4
1866;1;0;3
1853;2;0;2
1838;2;0;1
1824;0;0;4
1772;2;0;2
1768;3;0;0
1756;1;0;3
1749;0;0;4
1728;0;0;3
1698;0;0;4
1687;0;0;4
1660;0;0;3
1648;1;0;2
1642;1;0;3
1624;0;0;4
1616;0;0;3
1543;0;0;3
1500;0;0;4
voici;1;1;1
unes;2;0;1
ta;3;0;0
quels;0;0;3
onze;2;0;1
nôtre;2;1;0
las;3;0;0
inter;2;0;1
hier;0;0;3
ha;0;0;3
gare;1;0;2
chacune;1;0;2
auprès;2;0;1
alentour;0;1;2
915378;0;0;3
89005;1;1;1
7000;2;0;1
593;3;0;0
430;0;0;3
374;2;1;0
345;1;1;1
340;1;0;2
259;0;1;2
1908;1;0;2
1885;1;0;2
1858;0;0;3
1855;0;0;3
1823;2;0;1
1818;1;0;2
178;0;1;2
1755;2;0;1
1751;0;0;3
1741;0;0;3
1730;1;0;2
1720;0;0;3
1689;2;0;1
1675;0;0;3
1664;0;0;3
1637;0;0;3
1634;0;0;3
1534;1;0;2
