mot;13;5;33
millier;34;17;5
https;6;6;8
h;31;4;11
gallimard;7;0;12
colonial;21;0;32
charbon;0;0;53
usage;6;6;41
second;21;8;18
principalement;14;5;36
press;2;1;1
paraître;20;2;14
moment;27;4;21
londres;12;1;19
idéologie;8;0;44
désigner;17;1;35
cacher;3;1;13
but;20;1;18
arrêter;32;12;11
étudiant;33;10;6
viktor;0;43;0
succès;23;2;29
structure;4;0;43
réclamer;31;12;8
réalité;14;5;33
rural;6;0;43
phénomène;3;2;46
laisser;36;3;13
claude;4;3;33
attendre;23;2;23
www;4;29;6
universitaire;8;3;16
tranquille;28;2;8
sembler;10;8;34
résultat;16;12;26
reprendre;29;10;12
présidentiel;6;43;1
poste;21;22;7
moteur;1;1;42
maladie;3;0;43
local;24;5;23
iouchtchenko;0;44;1
insurrection;51;1;0
index;0;0;6
décider;40;5;6
épisode;22;4;4
énergie;3;0;45
simon;10;2;34
programme;30;4;9
proche;18;22;8
participer;31;4;14
intellectuel;20;1;32
démocratie;36;3;10
débat;22;7;19
commerce;6;3;38
collectif;7;1;27
tentative;32;2;15
réaction;21;11;14
précédent;21;10;15
nature;6;1;34
inspirer;18;3;20
image;4;5;20
frédéric;3;3;23
exister;14;3;31
démocratique;24;14;13
donnée;6;2;30
côté;26;6;15
capital;2;5;41
assurer;19;6;25
animal;2;0;36
voix;17;5;5
tête;32;9;9
sujet;6;9;32
php;0;2;2
philosophie;2;0;40
parole;9;9;10
externe;18;3;22
départ;14;25;11
décrire;6;2;40
date;24;8;16
réf;7;5;37
représentant;34;8;5
propre;16;2;24
prolétariat;14;0;32
porter;18;7;23
perspective;5;2;31
naître;22;0;26
invention;0;0;46
innovation;0;0;47
henri;5;0;33
discours;15;14;16
charger;25;9;15
atteindre;21;7;19
soulèvement;40;5;3
reprise;16;10;10
rapidement;12;8;29
partisan;22;14;10
parlement;19;22;7
marque;12;7;28
libérer;22;6;20
jeunesse;27;8;8
favoriser;1;2;43
engager;27;2;20
copernicien;0;0;34
banque;9;10;18
american;3;1;11
acteur;18;5;20
éd;6;7;8
ère;7;3;33
vidéo;2;8;8
thèse;12;6;25
siège;25;18;1
ordinateur;0;0;44
musique;2;0;5
japon;3;0;33
enregistrer;1;1;8
défense;28;11;6
concept;7;0;40
ajouter;15;6;13
xvi;35;6;2
title;0;0;3
sortie;7;15;9
rupture;17;3;26
représentation;6;2;30
relation;15;6;21
problème;21;2;22
oldid;0;0;3
nommer;24;12;8
inventer;2;0;38
fondateur;12;3;29
désormais;15;2;29
continuer;13;20;13
commission;15;20;9
capitale;35;7;0
blessé;12;17;1
afp;0;40;0
émeute;27;17;0
wikimedia;4;3;3
ukrainien;8;28;0
remplacer;11;3;29
possible;2;4;35
pensée;10;0;32
niveau;8;4;26
left;0;4;0
joseph;15;1;19
institution;19;11;9
fournir;14;1;29
diffuser;11;4;29
dictature;30;5;6
appuyer;11;1;34
accord;28;3;6
étendre;16;9;14
électrique;2;0;20
échec;30;3;9
véritable;20;1;20
viser;20;5;20
service;12;8;23
résistance;36;1;8
objet;5;4;32
inscrire;21;3;20
front;40;3;0
commercial;4;0;34
technologie;2;3;37
radical;23;0;16
proclamer;37;5;2
prix;12;2;27
prison;20;19;2
portugal;29;3;1
monroe;13;0;2
jeu;10;1;21
influence;20;4;12
importance;6;3;33
finalement;24;3;17
décision;25;7;12
dictionnaire;3;1;7
david;5;1;13
constituant;36;4;1
chose;18;3;16
censure;7;25;5
brevet;1;0;35
augmentation;0;2;41
annoncer;13;20;9
tuer;21;10;4
transformation;4;0;36
tirer;17;4;21
sommaire;14;4;20
républicain;32;2;5
répondre;32;3;5
risque;8;4;27
rapide;6;3;19
poursuivre;14;14;9
poser;5;1;33
