"";"banalfreq";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"nettement";11;-0,0078;-0,0081;-0,0027;-0,01;1,6558;-0,0321;-0,0033;-0,0035;-0,0056;0,6831;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,1362;-0,0681;1,126;-0,0293;-0,1274;-0,2886;-0,0941;0,2029;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"confondre";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;0,257;-0,0065;0,8568;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;1,3567;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;0,6315;-0,062;-0,7247;-0,0266;-0,1158;0,3435;0,7479;-0,3891;-0,0156;0,3315;1,2905;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"relever";26;-0,0184;-0,0191;-0,0063;-0,0238;-0,6683;0,795;-0,0077;-0,0083;-0,0132;1,8918;-0,0168;-0,1691;-0,0112;-0,0381;-0,0215;-0,0153;-0,096;-0,2166;-0,3936;0,445;-0,1057;-0,0208;-0,0552;0,4601;-0,019;-0,5306;-0,1611;-0,6683;-0,0692;-0,3011;1,7912;1,042;-0,2128;-0,0407;-0,2799;-0,0594;-0,2589;-0,3698;0,4592;-0,0163;-0,0308;-0,0153;-0,0694
"reposer";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;0,3537;1,2793;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;1,8541;-0,0681;0,2825;-0,0293;-0,1274;0,3138;-0,0941;-0,428;-0,0172;-0,2998;1,2503;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"faim";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,1525;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;0,791;-0,212;0,3015;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;-0,2038;0,7422;-0,1988;-0,0373;-0,1622;-0,3673;-0,1197;0,468;-0,0219;0,2331;-0,032;-0,1394;-0,4591;1,6742;-0,0088;-0,0166;1,7253;-0,0374
"récolte";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,455;-0,0084;0,7523;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;-0,1968;0,3242;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;0,9538;0,7714;0,2104;-0,0346;1,3511;-0,3411;-0,1112;-0,5058;-0,0203;-0,3544;-0,0297;-0,1295;-0,4263;1,7365;-0,0081;-0,0154;-0,0077;-0,0347
"accident";18;-0,0127;-0,0132;-0,0044;-0,0164;1,0907;-0,0525;-0,0053;-0,0057;-0,0091;-0,63;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;-0,4157;0,3316;0,6685;0,8096;-0,0144;-0,0382;1,4692;-0,0131;-0,7557;-0,1115;1,3328;-0,0479;-0,2085;-0,4723;-0,1539;0,3332;-0,0282;-0,155;-0,0411;-0,1793;-0,5902;-0,1283;-0,0113;-0,0213;-0,0106;-0,048
"davantage";26;-0,0184;-0,0191;-0,0063;-0,0238;-0,6683;-0,0759;-0,0077;-0,0083;-0,0132;-0,4072;-0,0168;-0,1691;-0,0112;-0,0381;-0,0215;-0,0153;0,7026;-0,2166;0,2247;-0,1931;-0,1057;-0,0208;-0,0552;-0,1848;-0,019;-0,5306;-0,1611;0,6986;-0,0692;0,3009;1,2013;1,042;0,4118;-0,0407;-0,2799;-0,0594;0,3476;-0,3698;-0,1853;-0,0163;-0,0308;-0,0153;0,8307
"800";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;1,0492;-0,254;-0,1665;-0,2361;1,0096;-0,0088;-0,0233;-0,0782;1,7374;-0,4618;0,838;0,2825;-0,0293;0,5947;-0,2886;-0,0941;0,2029;-0,0172;-0,2998;-0,0251;-0,1096;0,7254;-0,0784;-0,0069;1,5288;-0,0065;-0,0294
"250";12;-0,0085;-0,0088;-0,0029;-0,011;1,5495;-0,035;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;0,4662;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;1,7104;-0,0743;0,2436;-0,0319;0,5625;-0,3148;-0,1026;-0,4669;-0,0188;-0,3271;-0,0274;-0,1195;0,2248;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"particulièrement";33;-0,0233;-0,0243;-0,008;-0,0301;1,9825;-0,0963;-0,0098;-0,0105;-0,0167;-0,2806;-0,0214;0,409;-0,0142;-0,0484;-0,0272;-0,0194;-0,1219;-0,7621;1,593;-0,7084;-0,1341;-0,0264;-0,07;-0,2346;-0,0241;-0,3947;-0,2045;0,4009;-0,0878;0,2326;-0,3808;-0,2822;-0,672;-0,0516;1,8684;-0,0754;0,275;-0,5272;0,3786;-0,0206;-0,0391;-0,0195;-0,0881
"dépasser";22;-0,0156;-0,0162;-0,0053;-0,0201;-0,5655;0,8618;-0,0065;-0,007;-0,0111;0,6193;-0,0142;-0,1431;-0,0094;-0,0323;-0,0182;-0,0129;-0,0812;-0,1653;0,2712;-0,4722;-0,0894;-0,0176;-0,0467;-0,1564;-0,016;-0,9236;-0,1363;0,3524;-0,0585;0,3528;1,432;0,454;0,943;-0,0344;-0,5997;0,9616;-0,2191;-0,7214;0,5184;-0,0138;-0,0261;-0,013;-0,0587
"auprès_de";10;-0,0071;-0,0074;-0,0024;-0,0091;1,7754;-0,0292;-0,003;-0,0032;-0,0051;0,257;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;-0,4198;-0,062;-0,7247;1,2259;0,6306;-0,2624;-0,0855;-0,3891;-0,0156;-0,2726;-0,0228;0,6884;1,5043;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
