"";"banalfreq";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"complètement";17;-0,012;-0,0125;-0,0041;-0,0155;1,1516;-0,0496;-0,005;-0,0054;1,7074;-0,2099;-0,011;-0,1106;-0,0073;-0,0249;-0,014;-0,01;-0,0628;-0,3926;0,9443;-0,3649;-0,0691;-0,0136;1,0984;-0,1209;-0,0124;-0,7137;-0,1053;-0,2989;-0,0452;0,4383;1,1309;1,3709;-0,6615;-0,0266;-0,4634;-0,0388;0,491;-0,5574;-0,1212;-0,0106;-0,0202;-0,01;-0,0454
"résumer";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;1,1317;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;-0,3002;1,1471;0,3242;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;-0,1804;-0,0805;-0,9421;-0,0346;1,3511;0,7572;-0,1112;-0,1598;-0,0203;-0,3544;-0,0297;-0,1295;0,2039;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"folio";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;0,3774;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,1362;1,9943;1,126;-0,0293;-0,1274;-0,2886;-0,0941;0,6163;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;1,8292;-0,0294
"fois";152;-0,1076;-0,1119;-0,0368;1,3858;0,7804;-0,1372;-0,0452;-0,0485;1,8591;1,0935;-0,0985;-0,9887;-0,0652;1,0283;-0,1255;-0,0894;-0,2;-1,872;0,5742;-0,8587;0,3827;-0,1217;-0,3227;0,3478;-0,1109;-1,2723;-0,4388;0,3215;-0,4046;0,9673;0,5537;0,7524;0,6372;0,9817;-0,3783;-0,3472;-0,8583;0,3693;-0,5376;-0,0951;-0,1803;-0,0896;0,2167
"aider";20;-0,0141;-0,0147;-0,0048;-0,0183;-0,5141;-0,0584;-0,0059;1,8362;-0,0101;-0,7;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;-0,1413;0,2993;0,2021;-0,0813;-0,016;-0,0425;-0,1422;-0,0146;-0,8396;0,6052;-1,4494;-0,0532;-0,2316;0,4825;1,2423;1,0638;-0,0313;0,4612;-0,0457;-0,1992;1,9029;-0,1426;-0,0125;-0,0237;-0,0118;-0,0534
"rapprocher";18;-0,0127;-0,0132;-0,0044;-0,0164;1,0907;-0,0525;-0,0053;-0,0057;-0,0091;0,3857;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;-0,4157;0,3316;-0,3864;-0,0731;-0,0144;-0,0382;0,5931;-0,0131;-0,3044;-0,1115;1,3328;-0,0479;-0,2085;-0,1457;-0,1539;-0,2711;-0,0282;0,5227;-0,0411;-0,1793;-0,5902;-0,1283;-0,0113;-0,0213;-0,0106;-0,048
"100";30;-0,0212;-0,0221;-0,0073;-0,0274;-0,7711;-0,0876;-0,0089;-0,0096;-0,0152;-0,5037;-0,0194;-0,1951;-0,0129;-0,044;-0,0248;-0,0176;-0,1108;0,3327;-0,4542;1,8684;-0,1219;-0,024;-0,0637;-0,2133;-0,0219;-1,2595;-0,1859;1,9425;0,7749;0,7296;0,2743;-0,2565;-0,2846;-0,0469;-0,3489;-0,0685;0,3033;-0,2035;0,4102;-0,0188;-0,0356;-0,0177;-0,0801
"moral";18;-0,0127;-0,0132;-0,0044;-0,0164;1,0907;-0,0525;-0,0053;-0,0057;-0,0091;0,7992;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;-0,4157;-0,2725;-0,3864;-0,0731;-0,0144;-0,0382;1,4692;-0,0131;-0,7557;-0,1115;-0,3353;-0,0479;-0,2085;-0,4723;-0,1539;0,3332;-0,0282;1,6766;1,0443;0,4708;-0,5902;-0,1283;-0,0113;-0,0213;-0,0106;-0,048
"circonstance";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;-0,1514;0,409;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;0,6315;0,8763;-0,7247;-0,0266;0,6306;-0,2624;-0,0855;0,6796;-0,0156;0,3315;-0,0228;-0,0996;0,7921;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"estimer";70;-0,0495;-0,0515;-0,0169;-0,064;0,6702;0,4256;-0,0208;-0,0223;-0,0354;0,3371;-0,0453;-0,4553;-0,03;-0,1027;-0,0578;-0,0412;-0,2585;0,5282;0,6603;1,7151;-0,2845;-0,056;-0,1486;-0,1641;-0,0511;-0,6658;0,1995;-1,1429;-0,1863;0,2574;0,6444;-0,2198;0,8442;-0,1095;0,3736;-0,1599;-0,6972;-0,6164;0,5005;-0,0438;-0,083;-0,0413;-0,1869
"disparition";23;1,4345;-0,0169;-0,0056;-0,021;0,8445;-0,0671;-0,0068;-0,0073;-0,0116;1,0104;-0,0149;-0,1496;-0,0099;-0,0337;-0,019;-0,0135;-0,0849;-0,5312;-0,3482;-0,4937;-0,0935;-0,0184;-0,0488;-0,1635;-0,0168;-0,1918;-0,1425;0,3185;-0,0612;-0,2664;-0,2174;-0,1967;1,3754;-0,036;0,3849;-0,0525;-0,2291;-0,7542;0,5025;-0,0144;-0,0273;-0,0136;-0,0614
"autonome";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;0,9796;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;0,2599;-0,2271;0,281;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,6297;-0,0929;-1,087;-0,0399;-0,1737;1,268;-0,1283;0,4289;-0,0235;0,6365;1,1201;0,536;-0,4919;-0,1069;-0,0094;-0,0178;-0,0088;1,0552
"amorcer";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;0,2307;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,1362;-0,0681;1,126;-0,0293;0,5947;0,8761;0,7106;-0,428;-0,0172;-0,2998;-0,0251;0,6518;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"inédit";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;0,2307;-0,0071;0,8186;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,1362;-0,0681;1,126;-0,0293;-0,1274;-0,2886;-0,0941;0,6163;-0,0172;-0,2998;-0,0251;-0,1096;0,7254;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"aucun";38;-0,0269;-0,028;-0,0092;1,1145;-0,9768;-0,1109;-0,0113;-0,0121;-0,0192;0,2423;-0,0246;0,3626;-0,0163;-0,0557;-0,0314;-0,0223;-0,1403;-0,8776;-0,2046;0,5577;-0,1544;-0,0304;0,7708;1,6261;-0,0277;0,8771;-0,2354;0,2677;1,6445;-0,4401;-0,2122;0,7717;0,3846;-0,0594;-0,2289;-0,0868;-0,3785;-0,6461;-0,2709;-0,0238;-0,0451;-0,0224;-0,1014
"langue";18;-0,0127;-0,0132;-0,0044;-0,0164;-0,4627;-0,0525;-0,0053;-0,0057;1,6828;-0,2302;1,577;0,6266;-0,0077;-0,0264;-0,0149;-0,0106;1,9991;0,2104;0,9027;-0,3864;-0,0731;-0,0144;-0,0382;-0,128;-0,0131;-0,3044;-0,1115;-0,3353;-0,0479;-0,2085;-0,1457;-0,1539;-0,7004;-0,0282;0,5227;-0,0411;0,4708;-0,5902;-0,1283;-0,0113;-0,0213;1,6174;0,9799
"croître";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;0,2078;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;-0,1817;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;-0,5038;-0,0743;1,0042;-0,0319;1,4161;1,5269;-0,1026;-0,4669;-0,0188;0,2764;-0,0274;-0,1195;0,2248;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"attaque";23;-0,0163;-0,0169;-0,0056;-0,021;-0,5912;-0,0671;-0,0068;-0,0073;-0,0116;0,2669;-0,0149;0,5356;-0,0099;-0,0337;-0,019;-0,0135;-0,0849;-0,1778;0,2585;1,6393;-0,0935;-0,0184;-0,0488;-0,1635;-0,0168;0,8054;0,5533;-1,6668;0,8812;0,3387;0,4047;-0,1967;0,2233;-0,036;-0,2308;-0,0525;0,3873;-0,3064;-0,164;-0,0144;-0,0273;-0,0136;-0,0614
"confronter";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,1711;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;0,2599;-0,2271;-0,322;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,2279;-0,0929;0,7239;-0,0399;-0,1737;-0,3935;-0,1283;1,4668;1,2791;-0,4089;-0,0343;-0,1494;-0,1541;1,6167;-0,0094;-0,0178;-0,0088;-0,04
"portant";22;-0,0156;-0,0162;-0,0053;-0,0201;0,8872;0,8618;-0,0065;-0,007;-0,0111;0,2869;-0,0142;0,5518;-0,0094;-0,0323;-0,0182;-0,0129;-0,0812;-0,5081;0,2712;-0,4722;-0,0894;1,4009;-0,0467;-0,1564;-0,016;0,4804;-0,1363;-0,4935;-0,0585;-0,2548;-0,2024;1,1684;-0,856;-0,0344;1,3816;-0,0502;-0,2191;-0,286;-0,1568;-0,0138;-0,0261;-0,013;-0,0587
"initiative";20;-0,0141;-0,0147;-0,0048;-0,0183;-0,5141;-0,0584;-0,0059;-0,0064;-0,0101;-0,2721;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;-0,1413;-0,3028;1,1596;1,8315;-0,016;-0,0425;-0,1422;-0,0146;1,4982;0,6052;-0,412;-0,0532;-0,2316;-0,5247;0,4875;0,2832;-0,0313;-0,5452;-0,0457;-0,1992;0,3639;-0,1426;-0,0125;-0,0237;-0,0118;-0,0534
"dangereux";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;1,6104;-0,0097;0,6964;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;0,3902;-0,322;-0,061;-0,012;-0,0318;1,6189;-0,0109;0,389;-0,0929;-1,087;-0,0399;-0,1737;0,2248;-0,1283;-0,2024;-0,0235;0,6365;-0,0343;-0,1494;-0,1541;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"recul";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;1,0492;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;1,126;-0,0293;1,4878;-0,2886;-0,0941;-0,428;-0,0172;1,5905;-0,0251;-0,1096;0,2486;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"efficace";18;-0,0127;-0,0132;-0,0044;-0,0164;1,0907;-0,0525;-0,0053;-0,0057;-0,0091;0,3857;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;0,2104;-0,2725;0,2297;-0,0731;-0,0144;-0,0382;-0,128;-0,0131;-0,3044;-0,1115;-1,3044;-0,0479;-0,2085;0,5451;0,5252;-0,7004;1,2022;0,5227;-0,0411;-0,1793;0,4197;1,4671;-0,0113;-0,0213;-0,0106;-0,048
"reconnaissance";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;1,6681;0,4662;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;-0,5038;-0,0743;0,2436;-0,0319;-0,139;-0,3148;-0,1026;-0,1396;-0,0188;1,4852;-0,0274;-0,1195;0,6665;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"servir";60;-0,0425;-0,0441;-0,0145;-0,0548;-0,2636;-0,1752;-0,0178;-0,0191;-0,0304;1,3925;-0,0389;-0,3902;-0,0257;0,7366;-0,0495;-0,0353;1,0363;0,7016;-0,9085;0,2536;-0,2438;-0,048;-0,1274;-0,4266;-0,0438;0,3185;0,6802;0,3527;0,5119;-0,2764;1,2163;-0,5131;0,3873;-0,0939;-0,5452;-0,137;-0,5976;-1,2112;-0,4277;-0,0375;-0,0712;-0,0354;0,5108
"biais";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;1,126;-0,0293;-0,1274;0,3138;0,7106;-0,428;-0,0172;0,3022;-0,0251;0,6518;0,7254;0,782;-0,0069;-0,013;-0,0065;-0,0294
"hésiter";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,1346;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;-0,1968;-0,2791;-0,0528;-0,0104;-0,0276;1,7387;-0,0095;0,4687;0,7714;0,2104;-0,0346;-0,1506;-0,3411;-0,1112;1,6879;-0,0203;-0,3544;-0,0297;-0,1295;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"jules";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;1,7182;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;-0,212;-0,3005;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;0,8785;0,7422;-0,1988;-0,0373;-0,1622;-0,3673;-0,1197;0,468;1,3083;0,2331;-0,032;-0,1394;-0,4591;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"bold";18;-0,0127;1,5224;-0,0044;-0,0164;-0,4627;-0,0525;-0,0053;-0,0057;-0,0091;-0,63;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;0,2104;0,3316;0,2297;-0,0731;-0,0144;1,0746;0,5931;-0,0131;-0,3044;0,645;-0,3353;0,9812;0,4188;-0,4723;0,5252;-0,7004;-0,0282;-0,155;-0,0411;0,4708;-0,2079;-0,1283;-0,0113;1,3191;1,6174;-0,048
"maître";27;-0,0191;-0,0199;-0,0065;-0,0247;-0,694;-0,0788;-0,008;-0,0086;-0,0137;-0,1862;1,4038;-0,1756;-0,0116;-0,0396;-0,0223;-0,0159;-0,0997;0,3859;0,6268;-0,5796;-0,1097;-0,0216;-0,0573;-0,192;-0,0197;0,3381;0,4953;1,346;-0,0719;-0,3127;-0,28;-0,2309;1,1174;-0,0422;-0,736;0,8782;-0,2689;-0,3915;-0,1925;-0,0169;-0,032;-0,0159;-0,0721
"initial";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;0,257;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;-0,1514;1,0921;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;-0,4198;-0,062;-0,7247;-0,0266;-0,1158;-0,2624;0,7479;1,321;-0,0156;0,3315;-0,0228;-0,0996;0,2757;0,8199;-0,0063;-0,0119;-0,0059;-0,0267
"diviser";23;-0,0163;-0,0169;-0,0056;-0,021;-0,5912;-0,0671;-0,0068;-0,0073;-0,0116;-0,805;-0,0149;-0,1496;-0,0099;1,1265;-0,019;-0,0135;0,7505;0,9438;-0,3482;1,0139;-0,0935;-0,0184;0,9734;-0,1635;-0,0168;1,807;-0,1425;0,3185;-0,0612;0,3387;-0,6034;0,4387;0,2233;-0,036;-0,627;-0,0525;-0,2291;-0,7542;-0,164;-0,0144;-0,0273;-0,0136;-0,0614
"attacher";16;-0,0113;-0,0118;-0,0039;-0,0146;-0,4112;-0,0467;-0,0048;-0,0051;-0,0081;0,914;-0,0104;-0,104;-0,0069;-0,0235;-0,0132;-0,0094;-0,0591;0,2419;-0,2422;-0,3434;-0,065;-0,0128;1,1237;-0,1137;-0,0117;1,9143;-0,0991;0,6515;-0,0426;-0,1853;0,2079;-0,1368;-0,6226;-0,025;-0,4361;-0,0365;-0,1593;-0,5246;0,6365;-0,01;-0,019;-0,0094;-0,0427
"positif";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;1,2207;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;1,2099;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;-0,1578;-0,0743;0,2436;-0,0319;-0,139;-0,3148;-0,1026;-0,4669;-0,0188;0,7875;-0,0274;0,6188;0,2248;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"mhistoire";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;0,3263;-0,1817;0,9531;-0,0488;-0,0096;1,2444;0,7487;-0,0088;-0,1578;0,8032;0,2436;1,1494;-0,139;-0,3148;0,6769;-0,4669;-0,0188;-0,3271;-0,0274;0,6188;-0,3935;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"céder";16;-0,0113;-0,0118;-0,0039;-0,0146;-0,4112;-0,0467;-0,0048;-0,0051;-0,0081;0,914;-0,0104;-0,104;-0,0069;-0,0235;-0,0132;-0,0094;-0,0591;-0,3695;-0,2422;-0,3434;-0,065;-0,0128;-0,034;-0,1137;-0,0117;1,9143;-0,0991;0,6515;-0,0426;0,4592;-0,4198;-0,1368;-0,2247;-0,025;0,1981;-0,0365;-0,1593;-0,1715;-0,1141;-0,01;-0,019;-0,0094;-0,0427
"vigueur";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,525;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;0,7432;1,0374;-0,322;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,2279;-0,0929;-0,2305;-0,0399;-0,1737;-0,3935;-0,1283;-0,5836;-0,0235;1,964;-0,0343;1,3529;0,5247;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"battre";33;-0,0233;-0,0243;-0,008;1,1735;1,9825;-0,0963;-0,0098;-0,0105;-0,0167;-0,2806;-0,0214;-0,2146;-0,0142;-0,0484;-0,0272;-0,0194;-0,1219;1,0493;-0,4996;-0,2815;-0,1341;-0,0264;-0,07;-0,2346;-0,0241;-0,1953;-0,2045;-1,004;0,7373;0,2326;-0,8658;0,3207;0,8293;-0,0516;0,4877;-0,0754;-0,3287;-0,2473;-0,2352;-0,0206;-0,0391;-0,0195;0,7362
"anne";19;-0,0134;-0,014;-0,0046;-0,0174;-0,4884;0,9212;-0,0056;-0,0061;-0,0096;-0,665;-0,0123;0,6062;-0,0082;-0,0279;-0,0157;-0,0112;-0,0702;0,5882;-0,2877;-0,4078;-0,0772;-0,0152;-0,0403;-0,1351;-0,0139;1,0398;-0,1177;-0,373;-0,0506;-0,2201;1,0143;-0,1625;-0,7393;-0,0297;0,9774;-0,0434;1,1668;-0,623;-0,1354;-0,0119;1,2962;-0,0112;-0,0507
"revendiquer";18;-0,0127;-0,0132;-0,0044;-0,0164;-0,4627;-0,0525;-0,0053;-0,0057;-0,0091;1,3401;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;0,848;0,2104;0,3316;-0,3864;-0,0731;-0,0144;-0,0382;0,5931;-0,0131;-0,7557;-0,1115;-0,3353;-0,0479;-0,2085;-0,1457;-0,1539;0,707;-0,0282;0,5227;-0,0411;0,4708;-0,2079;-0,1283;-0,0113;-0,0213;-0,0106;-0,048
"d_abord";68;-0,0481;-0,05;-0,0165;-0,0621;0,7088;-0,1985;-0,0202;-0,0217;-0,0344;0,8119;-0,044;-0,1356;-0,0292;-0,0997;-0,0561;-0,04;0,3574;0,8542;-0,2316;-0,4471;-0,2764;-0,0544;-0,1444;0,5189;-0,0496;0,5407;-0,4213;-0,2821;-0,181;1,4744;-1,0653;-0,21;0,6472;-0,1064;0,3994;0,5219;-0,6773;-1,4283;-0,4848;-0,0425;-0,0807;-0,0401;-0,1815
"effort";33;-0,0233;-0,0243;-0,008;-0,0301;-0,8482;-0,0963;-0,0098;-0,0105;-0,0167;0,3225;-0,0214;-0,2146;-0,0142;-0,0484;-0,0272;-0,0194;-0,1219;-0,3146;-0,4996;0,3215;-0,1341;-0,0264;-0,07;-0,2346;-0,0241;1,5481;-0,2045;0,9099;-0,0878;0,6669;-0,3808;-0,2822;1,2301;-0,0516;-0,8996;-0,0754;0,275;-0,5272;0,3786;-0,0206;-0,0391;-0,0195;-0,0881
"citer";24;-0,017;-0,0177;-0,0058;1,3077;-0,6169;0,8269;-0,0071;-0,0077;-0,0121;0,9573;-0,0155;-0,1561;-0,0103;-0,0352;-0,0198;-0,0141;-0,0886;-0,1905;0,2465;-0,1696;-0,0975;-0,0192;-0,0509;-0,1706;-0,0175;-0,4715;0,5377;1,6429;-0,0639;-0,278;0,3822;-0,2052;-0,9338;-0,0375;-0,2469;-0,0548;0,3734;-0,3272;-0,1711;-0,015;-0,0285;-0,0141;-0,0641
"jugement";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,1346;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;1,1471;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;1,583;-0,0805;-0,9421;-0,0346;-0,1506;-0,3411;0,6463;0,5117;-0,0203;0,7319;-0,0297;-0,1295;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"140";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;0,3846;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;0,2079;-0,062;0,3287;-0,0266;0,6306;0,3435;-0,0855;0,2279;-0,0156;-0,2726;-0,0228;1,6885;0,2757;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"spécialiste";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,1346;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;0,4384;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;-0,1804;-0,0805;0,2104;-0,0346;-0,1506;1,4319;-0,1112;-0,5058;-0,0203;0,7319;-0,0297;-0,1295;0,614;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"intérêt";42;-0,0297;-0,0309;-0,0102;-0,0384;-1,0796;-0,1226;-0,0125;-0,0134;-0,0213;1,3885;-0,0272;-0,2731;-0,018;-0,0616;-0,0347;-0,0247;0,5224;1,6914;0,3725;-0,1741;-0,1707;-0,0336;-0,0892;0,3035;-0,0306;-1,0421;-0,2602;-0,2775;-0,1118;-0,4865;0,3468;1,315;-0,9408;-0,0657;0,3236;-0,0959;-0,4183;-0,3954;0,8261;-0,0263;-0,0498;-0,0248;1,5611
"finance";20;-0,0141;-0,0147;-0,0048;-0,0183;-0,5141;0,9004;-0,0059;-0,0064;-0,0101;-0,2721;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;-0,1413;-0,3028;-0,4293;-0,0813;1,4415;-0,0425;-0,1422;-0,0146;1,4982;-0,1239;-0,412;-0,0532;-0,2316;1,5708;0,4875;-0,7782;-0,0313;-0,5452;-0,0457;-0,1992;1,2758;-0,1426;-0,0125;-0,0237;-0,0118;-0,0534
"défaite";20;-0,0141;-0,0147;-0,0048;1,3851;-0,5141;-0,0584;-0,0059;-0,0064;-0,0101;-0,2721;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;-0,1413;-0,3028;-0,4293;-0,0813;-0,016;-0,0425;1,3844;-0,0146;0,5551;-0,1239;0,4316;-0,0532;-0,2316;-0,5247;1,2423;1,0638;-0,0313;-0,5452;1,0008;0,4343;-0,6558;-0,1426;-0,0125;-0,0237;-0,0118;-0,0534
"stabilité";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;0,5312;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;-0,4198;-0,062;1,2676;1,2259;-0,1158;-0,2624;1,8122;0,2279;-0,0156;-0,2726;-0,0228;-0,0996;0,2757;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"agir";94;-0,0665;-0,0692;-0,0227;-0,0859;-0,6889;0,3294;-0,0279;-0,03;-0,0476;1,2285;-0,0609;-0,6114;-0,0403;-0,1379;-0,0776;-0,0553;0,2593;-0,8883;-0,7863;0,7737;-0,3821;-0,0752;-0,1996;-0,2615;-0,0686;0,8095;-0,5824;1,5786;0,3586;0,3458;0,3228;-0,346;0,3815;0,5418;-0,3115;1,0572;-0,4337;-1,5353;-0,2626;-0,0588;-0,1115;-0,0554;-0,2509
