"";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"wikimedia";-0,0325;2,5503;1,5968;-0,042;0,3035;0,5752;-0,0137;1,4785;1,2824;-0,5253;-0,0298;1,5086;1,3523;0,842;1,0772;1,2192;-0,1699;-0,2428;-0,2762;-0,2101;1,1639;-0,0368;-0,0976;0,7658;-0,0336;-0,7182;0,8593;-1,6953;1,4904;-0,5328;-1,207;0,646;-0,6314;-0,072;-1,254;0,6678;-0,4581;-0,468;-0,3279;2,6879;0,9279;1,218;-0,1228
"mêmes";-0,0113;-0,0118;-0,0039;-0,0146;-0,4112;-0,0467;-0,0048;-0,0051;-0,0081;-0,1902;-0,0104;-0,104;-0,0069;-0,0235;-0,0132;-0,0094;-0,0591;0,2419;-0,2422;-0,3434;-0,065;-0,0128;-0,034;-0,1137;-0,0117;-0,2528;-0,0991;-0,2639;-0,0426;0,4592;-0,4198;-0,1368;1,3715;-0,025;0,5952;-0,0365;0,5127;0,9757;-0,1141;-0,01;-0,019;-0,0094;-0,0427
"unir";-0,2555;1,6196;-0,0874;0,7538;2,2051;-1,0544;0,6598;-0,1152;-0,1828;-0,5967;-0,234;4,9646;-0,155;0,4639;0,8222;1,0631;-0,7226;15,2908;-5,4689;-0,7731;2,1305;-0,2891;1,48;-0,7915;-0,2635;-9,3718;-2,2379;10,1763;0,4215;-3,1517;-2,7007;-0,5328;-3,4607;-0,565;0,3563;-0,8249;-2,6251;-6,592;-1,1802;-0,226;-0,4284;-0,2129;4,0177
"leurs";-0,1592;-0,1656;-0,0545;-0,2056;-1,6226;-0,657;-0,0668;-0,0718;-0,1139;-1,2001;-0,1458;-0,2441;-0,0966;-0,3301;-0,1858;-0,1323;0,5265;1,8622;-1,3124;-0,6217;-0,421;-0,1801;-0,4778;1,4972;-0,1642;4,3608;-0,7676;-4,6824;0,7963;1,1203;0,605;-0,2572;4,3507;-0,3521;-0,5536;-0,1741;0,3959;-0,6265;-0,5386;-0,1408;-0,267;-0,1327;0,7936
"domenach";-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;0,6831;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;10,1499;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;-0,7971;-0,0293;-0,1274;-0,2886;-0,0941;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"menacer";-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,49;-0,0091;0,7233;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;1,4829;-0,212;-0,3005;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;0,8785;0,7422;-1,0145;-0,0373;-0,1622;0,2435;-0,1197;0,9496;-0,0219;-0,3816;-0,032;-0,1394;-0,1373;0,6876;-0,0088;-0,0166;-0,0083;-0,0374
"playboy";-0,0127;-0,0132;-0,0044;-0,0164;10,762;-0,0525;-0,0053;-0,0057;-0,0091;-0,63;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;-0,4157;-0,2725;-0,3864;-0,0731;-0,0144;-0,0382;-0,128;-0,0131;-0,7557;-0,1115;-1,3044;-0,0479;-0,2085;-0,4723;-0,1539;-0,7004;-0,0282;3,3039;-0,0411;-0,1793;-0,5902;-0,1283;-0,0113;-0,0213;-0,0106;-0,048
"sortie";-0,0333;-0,0346;1,5876;-0,0429;4,9935;2,4083;-0,014;1,4694;-0,0238;-0,9508;-0,0304;2,2818;1,3432;1,9548;1,0682;1,2101;-0,1736;-1,0855;-0,7116;-1,0089;-0,191;1,0811;-0,0998;1,3886;-0,0343;-1,9733;-0,2912;-3,4062;-0,1251;-0,5444;-0,6391;0,2192;-1,096;-0,0735;2,1564;-0,1073;1,663;-1,5412;-0,3351;-0,0294;0,9191;-0,0277;-0,1255
"industrialiser";-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;-0,1817;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;-0,5038;-0,0743;9,7612;-0,0319;-0,139;-0,3148;-0,1026;-0,4669;-0,0188;-0,3271;-0,0274;-0,1195;-0,3935;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"99";-0,0099;-0,0103;-0,0034;-0,0128;1,3679;-0,0409;-0,0042;-0,0045;-0,0071;-0,1525;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;-0,212;0,3015;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;0,4266;-0,0867;-0,1988;-0,0373;-0,1622;-0,3673;1,5287;-0,1807;-0,0219;0,6819;-0,032;-0,1394;-0,4591;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"rivalité";-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;1,1317;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;-0,1968;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;0,9538;0,7714;0,2104;-0,0346;-0,1506;0,7572;0,6463;-0,5058;-0,0203;-0,3544;-0,0297;-0,1295;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"sortir";-0,0545;-0,0567;3,0568;-0,0704;4,5423;-0,2248;4,6545;-0,0246;-0,039;-1,8222;-0,0499;-0,5008;2,5676;1,5511;4,8073;2,3016;-0,2844;0,2447;-0,5939;-0,3118;0,7924;-0,0616;0,5035;-0,1912;-0,0562;0,7711;-0,1535;-1,421;-0,2049;-0,8919;0,783;-0,6584;-1,4657;-0,1205;-1,3218;-0,1759;0,5951;-1,1264;-0,549;-0,0482;1,7215;-0,0454;-0,2055
"déclencher";-0,0149;-0,0155;-0,0051;-0,0192;0,9329;-0,0613;-0,0062;-0,0067;-0,0106;-0,2937;-0,0136;-0,1366;-0,009;-0,0308;-0,0173;-0,0123;-0,0776;-0,485;-0,3179;-0,4508;-0,0853;-0,0168;-0,0446;0,5362;-0,0153;1,4133;-0,1301;-1,5218;-0,0559;-0,2432;-0,551;0,4703;1,0011;-0,0328;-0,5724;0,9807;1,9426;0,3393;-0,1497;-0,0131;-0,0249;-0,0124;-0,0561
"prôner";-0,0141;-0,0147;-0,0048;-0,0183;0,9818;-0,0584;-0,0059;-0,0064;-0,0101;0,3321;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;-0,4619;-0,3028;-0,4293;-0,0813;-0,016;-0,0425;0,5541;-0,0146;0,2505;-0,1239;-0,412;-0,0532;-0,2316;-0,5247;0,4875;1,0638;-0,0313;0,926;1,0008;-0,1992;-0,6558;0,5531;-0,0125;-0,0237;-0,0118;-0,0534
"derrière";-0,0099;-0,0103;-0,0034;-0,0128;1,3679;-0,0409;-0,0042;-0,0045;-0,0071;-0,1525;-0,0091;1,7484;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;-0,212;0,3015;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;-0,5877;-0,0867;-0,1988;-0,0373;-0,1622;0,2435;0,6182;-0,1807;-0,0219;0,2331;-0,032;-0,1394;-0,1373;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"wang";-0,0113;-0,0118;-0,0039;-0,0146;-0,4112;-0,0467;-0,0048;-0,0051;-0,0081;-0,56;-0,0104;-0,104;-0,0069;-0,0235;-0,0132;-0,0094;-0,0591;-0,3695;-0,2422;21,0716;-0,065;-0,0128;-0,034;-0,1137;-0,0117;-0,6717;-0,0991;-1,1595;-0,0426;-0,1853;-0,4198;-0,1368;-0,6226;-0,025;-0,4361;-0,0365;-0,1593;-0,5246;-0,1141;-0,01;-0,019;-0,0094;-0,0427
"oclc";-0,0255;-0,0265;-0,0087;-0,0329;-0,9253;-0,1051;-0,0107;-0,0115;-0,0182;-1,26;-0,0233;-0,2341;-0,0154;0,9413;-0,0297;-0,0212;-0,133;-0,8314;-0,545;-0,7728;-0,1463;-0,0288;-0,0764;-0,2559;-0,0263;-0,4643;1,0356;-0,4781;-0,0958;-0,417;-0,4337;-0,3078;12,0706;5,0494;-0,4586;0,7633;-0,3585;-1,1805;-0,2566;-0,0225;-0,0427;-0,0212;-0,0961
"want";-0,0127;-0,0132;-0,0044;-0,0164;22,3348;-0,0525;-0,0053;-0,0057;-0,0091;-0,63;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;-0,4157;-0,2725;-0,3864;-0,0731;-0,0144;-0,0382;-0,128;-0,0131;-0,7557;-0,1115;-1,3044;-0,0479;-0,2085;-0,4723;-0,1539;-0,7004;-0,0282;-0,4907;-0,0411;-0,1793;-0,5902;-0,1283;-0,0113;-0,0213;-0,0106;-0,048
"provincial";-0,0141;-0,0147;-0,0048;-0,0183;-0,5141;-0,0584;-0,0059;-0,0064;-0,0101;-0,7;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;0,5565;1,5282;-0,4293;-0,0813;-0,016;-0,0425;-0,1422;-0,0146;2,1189;-0,1239;-1,4494;-0,0532;-0,2316;-0,5247;-0,171;-0,3196;-0,0313;-0,5452;-0,0457;8,1638;-0,6558;-0,1426;-0,0125;-0,0237;-0,0118;-0,0534
"angleterre";-0,0686;1,9218;-0,0235;-0,0886;0,9761;-0,2832;2,6833;-0,0309;-0,0491;-0,6396;-0,0628;-0,6309;-0,0416;0,5539;-0,0801;-0,057;0,702;-0,2134;-0,4557;-2,0825;-0,3942;-0,0776;-0,2059;-0,6897;-0,0708;-2,3032;-0,601;22,6558;-0,2582;-1,1237;-1,1455;-0,8295;-2,7707;-0,1518;0,2652;-0,2215;-0,9662;-3,1811;-0,6916;-0,0607;-0,1151;-0,0572;-0,2589
"machine";-0,1175;-0,1222;-0,0402;-0,1517;-4,2679;-0,4847;-0,0493;-0,053;-0,084;-0,5947;-0,1075;-1,0798;-0,0712;0,3674;-0,1371;-0,0976;0,3865;-3,8347;-2,5139;-3,5643;-0,6748;-0,1329;-0,3525;-1,1805;-0,1211;-5,7191;-1,0287;61,9127;-0,4419;-1,9232;6,3394;-1,4197;-6,4608;-0,2597;-4,5263;-0,3792;-1,6537;-5,4447;-0,6098;-0,1039;0,4382;-0,0979;-0,4432
"tisser";-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;4,4808;-0,0293;-0,1274;1,6329;-0,0941;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"place";-0,1408;-0,1465;-0,0482;-0,1819;-0,5408;-0,2113;-0,0591;-0,0635;0,684;-0,3779;-0,1289;-1,2945;-0,0854;-0,2919;-0,1643;-0,117;0,2984;-0,7289;-1,0559;2,0892;1,4028;-0,1593;1,1285;-0,4303;0,5464;-0,759;0,813;3,0798;0,4643;-0,6393;-0,7694;1,016;-2,0167;0,2909;-2,231;-0,1429;-0,2767;2,2627;-0,4324;-0,1245;-0,2361;-0,1173;-0,1835
